Référence,Intitulé synthétique,Type d'AO,Type,Fonction publique,Acheteur_auto,Acheteur_manual,Acheteur_clean,Localisation_auto,Localisation_manual,Localisation,Localisation_clean,Date_limite_auto,Date_limite_manual,Date limite de remise des offres,Durée initiale du marché,Reconduction(s),Estimation_auto,Estimation_manual,Estimation du marché,URL source HTTPS,Plateforme,match_status,match_source,review_needed,extraction_notes,Colonne 1,Colonne 2,Column 29,source_type,categorie_regime,preuve_regime,typologie_marche_verifiee,preuve_typologie,qualite_preuve_procedure,conflit_detecte,type_conflit,preuve_joue_detectee,source_preuve_joue,famille_procedure_deduite,niveau_procedure_deduit,justification_juridique_courte,seuil_formalise_applicable,code_couleur_procedure
13joue003085442026-2026-fourniture-solutions-infrastructure,-,-,-,-,1.1,,1.1,-,,-,-,-,,-,-,-,60000000000.0,,60000000000.0,-,BOAMP,new,13joue003085442026-2026-fourniture-solutions-infrastructure.html,,title: label_titre -> rejected score=40 value='' reason=empty; buyer: label_nom_officiel -> rejected score=40 value='' reason=empty; buyer: label_acheteur -> accepted score=30 value='1.1',-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
2026-30,"Maintien en Condition Opérationnelle de l'Infrastructure Système, Stockage, Serveurs et Sauvegarde / Renouvellement, installation et maintenance de composants essentiels… Enregistrer cet appel d’offre Localisation : Nièvre (58) Date de clotûre",-,-,-,Centre Hospitalier de l'Agglomération de Nevers,,Centre Hospitalier de l'Agglomération de Nevers,J’ai lu et j’accepte les,,J’ai lu et j’accepte les,J’ai lu et j’accepte les,2026-06-05 12:00:00,,2026-06-05 12:00:00,-,-,-,,-,https://www.francemarches.com/appel-offre/,France Marchés,new,13joue003107212026-2026-maintien-condition-operationnelle.html,,"title: editorial_header -> accepted score=70 value=""Maintien en Condition Opérationnelle de l'Infrastructure Système, Stockage, Serveurs et Sauvegarde / Renouvellement, installation et maintenance de composants essentiels… Enregistrer cet appel d’offre Localisation : Nièvre (58) Date de clotûre""; title: legal_text_title -> rejected score=40 value='' reason=empty; title: description_short -> rejected score=10 value='' reason=empty; buyer: editorial_buyer_block -> rejected score=30 value='' reason=empty; buyer: legal_nom_complet -> accepted score=65 value=""Communauté de communes Haut Nivernais Val d Yonne Type de Numéro national d'identification : SIRETNo national…""; buyer: legal_nom_officiel -> accepted score=60 value=""Centre Hospitalier de l'Agglomération de Nevers""; buyer: nom_officiel_chu -> accepted score=75 value=""Centre Hospitalier de l'Agglomération de Nevers""; buyer: nom_officiel_collectivite -> rejected score=70 value=""Centre Hospitalier de l'Agglomération de Nevers Numéro d’enregistrement : 20001120300011 Adresse postale : 1 avenue Patrick Guillot BP649 Ville : NEVERS cedex Code postal : 58033 Subdivision pays (NUTS) : Nièvre ( FRC12 ) Pays : France Point de contact : Cellule Marchés Adresse électronique : chan"" reason=generic_contains_buyer",-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
PM BROKER 26-15,"La continuité, l'exploitation, l'hébergement, la maintenance et le développement de la plateforme de notification eTOD Enregistrer cet appel d’offre Localisation : Date de clotûre",-,-,-,Institut géographique national Numéro d’enregistrement : 0216755012_35 Adresse postale : avenue de Cortenbergh 115 Ville : Bruxelles Code postal : 1000 Subdivision pays (NUTS) : Arr,,Institut géographique national Numéro d’enregistrement : 0216755012_35 Adresse postale : avenue de Cortenbergh 115 Ville : Bruxelles Code postal : 1000 Subdivision pays (NUTS) : Arr,-,,-,-,2026-06-15 14:00:00,,2026-06-15 14:00:00,-,-,-,,-,https://www.francemarches.com/appel-offre/,France Marchés,new,13joue003228322026-2026-continuite-exploitation-hebergement?q=72200000.html,,"title: editorial_header -> accepted score=70 value=""La continuité, l'exploitation, l'hébergement, la maintenance et le développement de la plateforme de notification eTOD Enregistrer cet appel d’offre Localisation : Date de clotûre""; title: legal_text_title -> rejected score=40 value='' reason=empty; title: description_short -> rejected score=10 value='' reason=empty; buyer: editorial_buyer_block -> rejected score=30 value='' reason=empty; buyer: legal_nom_complet -> rejected score=40 value='' reason=empty; buyer: legal_nom_officiel -> accepted score=50 value='Institut géographique national'; buyer: nom_officiel_collectivite -> accepted score=70 value='Institut géographique national Numéro d’enregistrement : 0216755012_35 Adresse postale : avenue de Cortenbergh 115 Ville : Bruxelles Code postal : 1000 Subdivision pays (NUTS) : Arr'",-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
13joue003237302026-2026-prestations-tierce-maintenance?q=72200000,-,-,-,-,1.1,,1.1,-,,-,-,-,,-,-,-,-,,-,-,BOAMP,new,13joue003237302026-2026-prestations-tierce-maintenance?q=72200000.html,,title: label_titre -> rejected score=40 value='' reason=empty; buyer: label_nom_officiel -> rejected score=40 value='' reason=empty; buyer: label_acheteur -> accepted score=30 value='1.1',-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
13joue003241312026-2026-prestations-support-maintenance?q=72200000,-,-,-,-,1.1,,1.1,-,,-,-,-,,-,-,-,44000000.0,,44000000.0,-,BOAMP,new,13joue003241312026-2026-prestations-support-maintenance?q=72200000.html,,title: label_titre -> rejected score=40 value='' reason=empty; buyer: label_nom_officiel -> rejected score=40 value='' reason=empty; buyer: label_acheteur -> accepted score=30 value='1.1',-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
13joue003272002026-2026-accompagnement-extension-itsm?q=72200000,-,-,-,-,1.1,,1.1,-,,-,-,-,,-,-,-,-,,-,-,BOAMP,new,13joue003272002026-2026-accompagnement-extension-itsm?q=72200000.html,,title: label_titre -> rejected score=40 value='' reason=empty; buyer: label_nom_officiel -> rejected score=40 value='' reason=empty; buyer: label_acheteur -> accepted score=30 value='1.1',-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
AE20260004-DAF_2026_000243,HISI V2 - Hébergement et infogérance des sites internet Enregistrer cet appel d’offre Localisation : Paris (75) Date de clotûre,-,-,-,BANQUE DE FRANCE - Direction des Achats,,BANQUE DE FRANCE - Direction des Achats,DIRECTION DES ACHATS,,DIRECTION DES ACHATS,DIRECTION DES ACHATS,-,,-,-,-,-,,-,https://www.francemarches.com/appel-offre/,France Marchés,new,13joue003278382026-2026-hisi-hebergement-infogerance?q=72200000.html,,title: editorial_header -> accepted score=70 value='HISI V2 - Hébergement et infogérance des sites internet Enregistrer cet appel d’offre Localisation : Paris (75) Date de clotûre'; title: legal_text_title -> rejected score=40 value='' reason=empty; title: description_short -> rejected score=10 value='' reason=empty; buyer: editorial_buyer_block -> rejected score=30 value='' reason=empty; buyer: legal_nom_complet -> rejected score=40 value='' reason=empty; buyer: legal_nom_officiel -> accepted score=60 value='BANQUE DE FRANCE - Direction des Achats'; buyer: nom_officiel_collectivite -> rejected score=70 value='BANQUE DE FRANCE - Direction des Achats Numéro d’enregistrement : 57210489100013 Département : DIRECTION DES ACHATS Ville : 39 rue Croix des Petits Champs Code postal : 75001 Subdivision pays (NUTS) : Paris ( FR101 ) Pays : France Point de contact : Christopher DELINOIS Adresse électronique : achats' reason=generic_contains_buyer,-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
13joue003293162026-2026-maintenance-hebergement-developpements?q=72200000,-,-,-,-,1.1,,1.1,-,,-,-,-,,-,-,-,17000000.0,,17000000.0,-,BOAMP,new,13joue003293162026-2026-maintenance-hebergement-developpements?q=72200000.html,,title: label_titre -> rejected score=40 value='' reason=empty; buyer: label_nom_officiel -> rejected score=40 value='' reason=empty; buyer: label_acheteur -> accepted score=30 value='1.1',-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
13joue003304802026-2026-groupement-commandes-pour?q=72200000,-,-,-,-,1.1,,1.1,-,,-,-,-,,-,-,-,60000000.0,,60000000.0,-,BOAMP,new,13joue003304802026-2026-groupement-commandes-pour?q=72200000.html,,title: label_titre -> rejected score=40 value='' reason=empty; buyer: label_nom_officiel -> rejected score=40 value='' reason=empty; buyer: label_acheteur -> accepted score=30 value='1.1',-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
26-41049,-,-,-,-,1.1,,1.1,-,,-,-,-,,-,-,-,400000.0,,400000.0,-,BOAMP,new,26-41049.html,,title: label_titre -> rejected score=40 value='' reason=empty; buyer: label_nom_officiel -> rejected score=40 value='' reason=empty; buyer: label_acheteur -> accepted score=30 value='1.1',-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
2956468?orgAcronyme=g7h,-,-,-,-,MINARM / ESTM / EPA / SHOM - Service hydrographique et océanographique de la Marine,,MINARM / ESTM / EPA / SHOM - Service hydrographique et océanographique de la Marine,(29) Finistère,,(29) Finistère,(29) Finistère,2026-06-18 09:00:00,,2026-06-18 09:00:00,-,-,-,,-,-,PLACE,new,2956468?orgAcronyme=g7h.html,,title: header_generic -> rejected score=-75 value='Détail de la consultation' reason=generic_exact_title; buyer: entity_line -> accepted score=70 value='MINARM / ESTM / EPA / SHOM - Service hydrographique et océanographique de la Marine'; buyer: entity_line -> accepted score=60 value='Publicité / Téléchargement'; buyer: entity_line -> accepted score=60 value='Publicité / Téléchargement',-,-,-,PLACE_NUMERIC,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
2986378?orgAcronyme=f2h,Fourniture d'une solution de gestion pédagogique des doctorants,-,-,-,EOESRI / COMUE - UdL - COMUE &quot;Université de Lyon&quot,,EOESRI / COMUE - UdL - COMUE &quot;Université de Lyon&quot,(69) Rhône,,(69) Rhône,(69) Rhône,2026-06-12 12:00:00,,2026-06-12 12:00:00,-,-,-,,-,-,PLACE,new,2986378?orgAcronyme=f2h.html,,"title: header_generic -> rejected score=-75 value='Détail de la consultation' reason=generic_exact_title; title: business_title_line -> accepted score=60 value=""Fourniture d'une solution de gestion pédagogique des doctorants""; buyer: entity_line -> accepted score=70 value='EOESRI / COMUE - UdL - COMUE &quot;Université de Lyon&quot'; buyer: entity_line -> accepted score=60 value='Publicité / Téléchargement'; buyer: entity_line -> accepted score=60 value='Publicité / Téléchargement'",-,-,-,PLACE_NUMERIC,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
2987833?orgAcronyme=f2h,Réalisation d’opérations comptables et assistance fonctionnelle sur le système d’information financier et comptable SIFAC/SIFAC+ (S4/HANA SAP) de CentraleSupelec,-,-,-,EOESRI / SUPELEC - Centrale SUPELEC,,EOESRI / SUPELEC - Centrale SUPELEC,(91) Essonne,,(91) Essonne,(91) Essonne,2026-06-12 12:00:00,,2026-06-12 12:00:00,-,-,-,,-,-,PLACE,new,2987833?orgAcronyme=f2h.html,,title: header_generic -> rejected score=-75 value='Détail de la consultation' reason=generic_exact_title; title: business_title_line -> accepted score=60 value='Réalisation d’opérations comptables et assistance fonctionnelle sur le système d’information financier et comptable SIFAC/SIFAC+ (S4/HANA SAP) de CentraleSupelec'; title: business_title_line -> accepted score=60 value='Réalisation d’opérations comptables et assistance fonctionnelle sur le système d’information financier et comptable SIFAC/SIFAC+ (S4/HANA SAP) de CentraleSupelec'; buyer: entity_line -> accepted score=60 value='EOESRI / SUPELEC - Centrale SUPELEC'; buyer: entity_line -> accepted score=60 value='Publicité / Téléchargement'; buyer: entity_line -> accepted score=60 value='Publicité / Téléchargement',-,-,-,PLACE_NUMERIC,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
2990888?orgAcronyme=d3f,-,-,-,-,MJL / SG / DNUM - Direction du numérique,,MJL / SG / DNUM - Direction du numérique,-,,-,-,2026-06-17 14:00:00,,2026-06-17 14:00:00,-,-,-,,-,-,PLACE,new,2990888?orgAcronyme=d3f.html,,title: header_generic -> rejected score=-75 value='Détail de la consultation' reason=generic_exact_title; buyer: entity_line -> accepted score=70 value='MJL / SG / DNUM - Direction du numérique'; buyer: entity_line -> accepted score=60 value='Publicité / Téléchargement'; buyer: entity_line -> accepted score=60 value='Publicité / Téléchargement',-,-,-,PLACE_NUMERIC,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE
