Référence,Intitulé synthétique,Type d'AO,Type,Fonction publique,Acheteur_auto,Acheteur_manual,Acheteur_clean,Localisation_auto,Localisation_manual,Localisation,Localisation_clean,Date_limite_auto,Date_limite_manual,Date limite de remise des offres,Durée initiale du marché,Reconduction(s),Estimation_auto,Estimation_manual,Estimation du marché,URL source HTTPS,Plateforme,match_status,match_source,review_needed,extraction_notes,Colonne 1,Colonne 2,Column 29,source_type,categorie_regime,preuve_regime,typologie_marche_verifiee,preuve_typologie,qualite_preuve_procedure,conflit_detecte,type_conflit,preuve_joue_detectee,source_preuve_joue,famille_procedure_deduite,niveau_procedure_deduit,justification_juridique_courte,seuil_formalise_applicable,code_couleur_procedure,type_acheteur_source,fonction_publique_source,llm_classification,llm_justification
13/joue/003085442026,"Fourniture de solutions d'infrastructure informatique (matériels, logiciels et prestations associées)",-,etablissement_public,etat,Union des Groupements d'Achats Publics,,Union des Groupements d'Achats Publics,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,13joue003085442026-2026-fourniture-solutions-infrastructure.html,,[2026-05-15 17:34:53] title: weborama_from_3 → 'Fourniture de solutions d'infrastructure informati...'; [2026-05-15 17:34:53] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
13/joue/003107212026,"Maintien en Condition Opérationnelle de l'Infrastructure Système, Stockage, Serveurs et Sauvegarde \\\/ Renouvellement, installation et maintenance de composants essentiels - GHT de la Nièvre",-,etablissement_public,hospitaliere,Centre Hospitalier de l'Agglomération de Nevers,,Centre Hospitalier de l'Agglomération de Nevers,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,13joue003107212026-2026-maintien-condition-operationnelle.html,,[2026-05-15 17:34:53] title: weborama_from_3 → 'Maintien en Condition Opérationnelle de l'Infrastr...'; [2026-05-15 17:34:53] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
13/joue/003228322026,"La continuité, l'exploitation, l'hébergement, la maintenance et le développement de la plateforme de notification eTOD",-,etablissement_public,etat,Institut géographique national,,Institut géographique national,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,13joue003228322026-2026-continuite-exploitation-hebergement?q=72200000.html,,"[2026-05-15 17:34:53] title: weborama_from_3 → 'La continuité, l'exploitation, l'hébergement, la m...'; [2026-05-15 17:34:53] Extraction réussie (completude: 100%)",-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
13/joue/003237302026,Prestations de Tierce Maintenance Applicative des Logiciels Systèmes Energétiques du LITEN,-,etat,scientifique|technologique|industrielle,COMMISSARIAT A L'ENERGIE ATOMIQUE,,COMMISSARIAT A L'ENERGIE ATOMIQUE,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,13joue003237302026-2026-prestations-tierce-maintenance?q=72200000.html,,[2026-05-15 17:34:53] title: weborama_from_3 → 'Prestations de Tierce Maintenance Applicative des ...'; [2026-05-15 17:34:53] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,etat,"L'administration centrale de l'État, en cette occurrence le domaine de l'énergie nucléaire"
13/joue/003241312026,PRESTATIONS DE SUPPORT ET MAINTENANCE LOGICIEL,-,-,-,2026-04,,2026-04,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,13joue003241312026-2026-prestations-support-maintenance?q=72200000.html,,[2026-05-15 17:34:53] title: weborama_from_3 → 'PRESTATIONS DE SUPPORT ET MAINTENANCE LOGICIEL'; [2026-05-15 17:34:53] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,original,original,inconnu,La date '2026-04' ne correspond pas à une entité acheteuse
13/joue/003272002026,Accompagnement à l extension de l ITSM de la DSI,-,etat,administrative,DSI - Direction des systèmes d information,,DSI - Direction des systèmes d information,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,13joue003272002026-2026-accompagnement-extension-itsm?q=72200000.html,,[2026-05-15 17:34:53] title: weborama_from_3 → 'Accompagnement à l extension de l ITSM de la DSI'; [2026-05-15 17:34:53] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,etat,"Direction déconcentrée, administration centrale"
13/joue/003278382026,HISI V2 - Hébergement et infogérance des sites internet,-,etat,etat,BANQUE DE FRANCE - Direction des Achats,,BANQUE DE FRANCE - Direction des Achats,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,13joue003278382026-2026-hisi-hebergement-infogerance?q=72200000.html,,[2026-05-15 17:34:53] title: weborama_from_3 → 'HISI V2 - Hébergement et infogérance des sites int...'; [2026-05-15 17:34:53] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,etat,Direction d'administration centrale du Ministère de l'Economie et des Finances
13/joue/003293162026,"Maintenance, hébergement et développements des sites et applicatifs web du Département de la Vendée",-,collectivite_territoriale,territoriale,Département de la Vendée,,Département de la Vendée,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,13joue003293162026-2026-maintenance-hebergement-developpements?q=72200000.html,,"[2026-05-15 17:34:53] title: weborama_from_3 → 'Maintenance, hébergement et développements des sit...'; [2026-05-15 17:34:53] Extraction réussie (completude: 100%)",-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,llm,llm,collectivite_territoriale,Établissement public décentralisé
13/joue/003304802026,Groupement de commandes pour la fourniture de services de sécurité informatique pour les réseaux d'accès normands au profit des Etablissements Publics Locaux d'Enseignement,-,collectivite_territoriale,territoriale,REGION NORMANDIE,,REGION NORMANDIE,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,13joue003304802026-2026-groupement-commandes-pour?q=72200000.html,,[2026-05-15 17:34:53] title: weborama_from_3 → 'Groupement de commandes pour la fourniture de serv...'; [2026-05-15 17:34:53] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
DGFIP-DRS-2500077,Assistance externe pour la conduite de consultations organisées dans le cadre des dispositions du code de la commande publique pour les marchés de techniques de l’information et de la communication.,-,etat,etat,Direction Générale des Finances Publiques,,Direction Générale des Finances Publiques,Montreuil (93186),,Montreuil (93186),Montreuil (93186),2026-06-04 17:00:00,,2026-06-04 17:00:00,-,-,-,,-,-,BOAMP,new,26-41049.html,,"[2026-05-15 17:34:53] title: from_2_candidates → 'Assistance externe pour la conduite de consultatio...'; [2026-05-15 17:34:53] reference: identifiant_interne → 'DGFIP-DRS-2500077'; [2026-05-15 17:34:53] buyer: nom_officiel → 'Direction Générale des Finances Publiques'; [2026-05-15 17:34:53] location: ville_cp → 'Montreuil (93186)'; [2026-05-15 17:34:53] date_limite: date_reception_%d/%m/%Y → '04/06/2026 17:00'; [2026-05-15 17:34:53] cpv: found_7 → '72220000,72220000,13000049'; [2026-05-15 17:34:53] Extraction réussie (completude: 100%)",-,-,-,BOAMP_XML,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
Shom_26AC07,Maintien en conditions opérationnelles et de sécurité du Digital Workplace Odyssée du Shom,-,etablissement_public,etat,MINARM / ESTM / EPA / SHOM - Service hydrographique et océanographique de la Marine,,MINARM / ESTM / EPA / SHOM - Service hydrographique et océanographique de la Marine,(29) Finistère,,(29) Finistère,(29) Finistère,2026-06-18 09:00:00,,2026-06-18 09:00:00,-,-,-,,-,-,PLACE,new,2956468?orgAcronyme=g7h.html,,"[2026-05-15 17:34:53] title: extracted_from_13_candidates → 'Maintien en conditions opérationnelles et de sécur...'; [2026-05-15 17:34:53] buyer: entite_achat_selected_from_9 → 'MINARM / ESTM / EPA / SHOM - Service hydrographiqu...'; [2026-05-15 17:34:53] location: with_dept_code → '(29) Finistère'; [2026-05-15 17:34:53] date_limite: date_heure_limite_plis → '18/06/2026 09:00:00'; [2026-05-15 17:34:53] cpv: found_2_codes → '72267000,72200000'; [2026-05-15 17:34:53] Extraction réussie (completude: 100%)",-,-,-,PLACE_NUMERIC,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
A2026-018,Fourniture d'une solution de gestion pédagogique des doctorants,-,etablissement_public,etat,EOESRI / COMUE - UdL - COMUE &quot;Université de Lyon&quot;,,EOESRI / COMUE - UdL - COMUE &quot;Université de Lyon&quot;,(69) Rhône,,(69) Rhône,(69) Rhône,2026-06-12 12:00:00,,2026-06-12 12:00:00,-,-,-,,-,-,PLACE,new,2986378?orgAcronyme=f2h.html,,[2026-05-15 17:34:53] title: extracted_from_13_candidates → 'Fourniture d'une solution de gestion pédagogique d...'; [2026-05-15 17:34:53] buyer: entite_achat_selected_from_7 → 'EOESRI / COMUE - UdL - COMUE &quot;Université de L...'; [2026-05-15 17:34:53] location: with_dept_code → '(69) Rhône'; [2026-05-15 17:34:53] date_limite: date_heure_limite_plis → '12/06/2026 12:00:00'; [2026-05-15 17:34:53] cpv: found_1_codes → '72260000'; [2026-05-15 17:34:53] Extraction réussie (completude: 100%),-,-,-,PLACE_NUMERIC,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
2026-005,Réalisation d’opérations comptables et assistance fonctionnelle sur le système d’information financier et comptable SIFAC/SIFAC+ (S4/HANA SAP) de CentraleSupelec,-,etablissement_public,etat,EOESRI / SUPELEC - Centrale SUPELEC,,EOESRI / SUPELEC - Centrale SUPELEC,(91) Essonne,,(91) Essonne,(91) Essonne,2026-06-12 12:00:00,,2026-06-12 12:00:00,-,-,-,,-,-,PLACE,new,2987833?orgAcronyme=f2h.html,,"[2026-05-15 17:34:53] title: extracted_from_9_candidates → 'Réalisation d’opérations comptables et assistance ...'; [2026-05-15 17:34:53] buyer: entite_achat_selected_from_7 → 'EOESRI / SUPELEC - Centrale SUPELEC'; [2026-05-15 17:34:53] location: with_dept_code → '(91) Essonne'; [2026-05-15 17:34:53] date_limite: date_heure_limite_plis → '12/06/2026 12:00:00'; [2026-05-15 17:34:53] cpv: found_2_codes → '72212440,79211100'; [2026-05-15 17:34:53] Extraction réussie (completude: 100%)",-,-,-,PLACE_NUMERIC,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
26_AMOE_AST,Accord-cadre d’assistance à maîtrise d’œuvre des applications du socle transverse,-,etat,etat,MJL / SG / DNUM - Direction du numérique,,MJL / SG / DNUM - Direction du numérique,Ministère de la Justice,,Ministère de la Justice,Ministère de la Justice,2026-06-17 14:00:00,,2026-06-17 14:00:00,-,-,-,,-,-,PLACE,new,2990888?orgAcronyme=d3f.html,,"[2026-05-15 17:34:53] title: extracted_from_13_candidates → 'Accord-cadre d’assistance à maîtrise d’œuvre des a...'; [2026-05-15 17:34:53] buyer: entite_achat_selected_from_9 → 'MJL / SG / DNUM - Direction du numérique'; [2026-05-15 17:34:53] location: longest_candidate → 'Ministère de la Justice'; [2026-05-15 17:34:53] date_limite: date_heure_limite_plis → '17/06/2026 14:00:00'; [2026-05-15 17:34:53] cpv: found_2_codes → '72267100,72227000'; [2026-05-15 17:34:53] Extraction réussie (completude: 100%)",-,-,-,PLACE_NUMERIC,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
AOO_2026-02,Assistance à maîtrise d’ouvrage pour la conception et la passation de marchés publics de développement d’outils de gestion et de visualisation de données sur l’eau sur le bassin versant Marais poitevin,-,etat,etat,"Ministère de la Transition Écologique, Ministère de la Cohésion des Territoires, Ministère de la Mer",,"Ministère de la Transition Écologique, Ministère de la Cohésion des Territoires, Ministère de la Mer","(85) Vendée, (17) Charente-Maritime, (79) Deux-Sèvres",,"(85) Vendée, (17) Charente-Maritime, (79) Deux-Sèvres","(85) Vendée, (17) Charente-Maritime, (79) Deux-Sèvres",2026-06-22 12:00:00,,2026-06-22 12:00:00,-,-,-,,-,-,PLACE,new,2992873?orgAcronyme=d4t.html,,"[2026-05-15 17:34:53] title: extracted_from_13_candidates → 'Assistance à maîtrise d’ouvrage pour la conception...'; [2026-05-15 17:34:53] buyer: entite_achat_selected_from_9 → 'Ministère de la Transition Écologique, Ministère d...'; [2026-05-15 17:34:53] location: with_dept_code → '(85) Vendée, (17) Charente-Maritime, (79) Deux-Sèv...'; [2026-05-15 17:34:53] date_limite: date_heure_limite_plis → '22/06/2026 12:00:00'; [2026-05-15 17:34:53] cpv: found_3_codes → '71241000,48810000,72222000'; [2026-05-15 17:34:53] Extraction réussie (completude: 100%)",-,-,-,PLACE_NUMERIC,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
B26-01107-LS,Prestations de tierce maintenance applicative (TMA) des Logiciels Systèmes Energétiques du CEA Liten,-,etablissement_public,etat,AO / CEA / CEA / GRENOBLE - CENTRE DE GRENOBLE,,AO / CEA / CEA / GRENOBLE - CENTRE DE GRENOBLE,(38) Isère,,(38) Isère,(38) Isère,2026-06-10 16:00:00,,2026-06-10 16:00:00,-,-,-,,-,-,PLACE,new,2997383?orgAcronyme=s2d.html,,[2026-05-15 17:34:54] title: extracted_from_10_candidates → 'Prestations de tierce maintenance applicative (TMA...'; [2026-05-15 17:34:54] buyer: entite_achat_selected_from_7 → 'AO / CEA / CEA / GRENOBLE - CENTRE DE GRENOBLE'; [2026-05-15 17:34:54] location: with_dept_code → '(38) Isère'; [2026-05-15 17:34:54] date_limite: date_heure_limite_plis → '10/06/2026 16:00:00'; [2026-05-15 17:34:54] cpv: found_1_codes → '72250000'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%),-,-,-,PLACE_NUMERIC,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
RFI_CRM_2026-02,"RFI ""Outil de connaissance et de gestion des relations extérieures du CNRS""",-,etablissement_public,etat,EOESRI / CNRS / CNRS - DR14 - CNRS Délégation Occitanie Ouest,,EOESRI / CNRS / CNRS - DR14 - CNRS Délégation Occitanie Ouest,"(75) Paris, (92) Hauts-de-Seine, (31) Haute-Garonne",,"(75) Paris, (92) Hauts-de-Seine, (31) Haute-Garonne","(75) Paris, (92) Hauts-de-Seine, (31) Haute-Garonne",2026-06-15 12:00:00,,2026-06-15 12:00:00,-,-,-,,-,-,PLACE,new,2998043?orgAcronyme=f2h.html,,"[2026-05-15 17:34:54] title: extracted_from_9_candidates → 'RFI ""Outil de connaissance et de gestion des relat...'; [2026-05-15 17:34:54] buyer: entite_achat_selected_from_7 → 'EOESRI / CNRS / CNRS - DR14 - CNRS Délégation Occi...'; [2026-05-15 17:34:54] location: with_dept_code → '(75) Paris, (92) Hauts-de-Seine, (31) Haute-Garonn...'; [2026-05-15 17:34:54] date_limite: date_heure_limite_plis → '15/06/2026 12:00:00'; [2026-05-15 17:34:54] cpv: found_1_codes → '72212445'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%)",-,-,-,PLACE_NUMERIC,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
1157695,Infogérance du système d'information de la ville de Croissy-sur-Seine,-,collectivite_territoriale,territoriale,Ville de Croissy-sur-Seine,,Ville de Croissy-sur-Seine,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,36parisien1157695-2026-infogerance-systeme-information.html,,[2026-05-15 17:34:54] title: weborama_from_3 → 'Infogérance du système d'information de la ville d...'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%),-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
37AO26154015290520267275,"Cadrage, la conception, le développement, le maintien en conditions opérationnelles et de sécurité et l'assistance pour les applications composant le système d'information du Casier Judiciaire",-,etat,etat,Ministère de la Justice,,Ministère de la Justice,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,37ao26154015290520267275-2026-cadrage-conception-developpement.html,,"[2026-05-15 17:34:54] title: weborama_from_3 → 'Cadrage, la conception, le développement, le maint...'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%)",-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
37AO26181552260520267275,"Prestations d'assistance technique, d'expertise et de conseil concernant les infrastructures, les services applicatifs et l'urbanisation du système d'information (' SI ') de la CNAF",-,etablissement_public,etat,CNAF Établissement public,,CNAF Établissement public,-,,-,-,-,,-,-,-,-,,-,-,France Marchés,new,37ao26181552260520267275-2026-prestations-assistance-technique.html,,"[2026-05-15 17:34:54] title: weborama_from_3 → 'Prestations d'assistance technique, d'expertise et...'; [2026-05-15 17:34:54] Extraction réussie (completude: 100%)",-,-,-,FRANCE_MARCHES,marches_ordinaires,Aucun marqueur défense/sécurité détecté,indetermine,Aucun indice typologique clair,ABSENTE,non,,non,,INDETERMINE,INDETERMINE,Aucune preuve,,INDETERMINE,rule,rule,,
