reference,titre,acheteur,type_acheteur,fonction_publique,procedure_type,famille_procedure_deduite,typologie_marche_verifiee,seuil_formalise_applicable,montant_estime,date_limite_remise_offres,url_marche,fichier_source_html,plateforme_source,duree,renouvellements,localisation,cpv_principal,cpv_secondaires,ccag_type,verification_requise,raisons_verification,notes_verification,qualite_preuve_procedure,conflit_detecte,type_conflit,categorie_regime,preuve_regime,preuve_typologie,preuve_joue_detectee,source_preuve_joue,justification_juridique_courte,code_couleur_procedure,niveau_procedure_deduit,url_provenance,type_marche,audit_verdict,audit_contamination_effective,audit_risque,audit_zones_annexes,audit_notes
13/joue/003036002026,Accord-cadre Infrastructure hyperconvergée et VDI (Virtual Desktop Infrastructure),Compagnie Nationale du Rhône,inconnu,hors_fonction_publique,formalisee,JOUE_PROUVE,indetermine,,,2026-06-10 19:00:00,https://www.francemarches.com/appel-offre/13joue003036002026-2026-accord-cadre-infrastructure,13joue003036002026-2026-accord-cadre-infrastructure.html,FRANCE_MARCHES,96.0,3 reconduction(s),Rhône,72600000,72600000|72263000|48820000,,True,ccag_type_manquant | fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,Aucun indice typologique clair,oui,reference,Publication JOUE avérée.,JOUE_PROUVE,JOUE_PROUVE,canonical,,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement
13/joue/003085442026,"Fourniture de solutions d'infrastructure informatique (matériels, logiciels et prestations associées)",Union des Groupements d'Achats Publics,etablissement_public,etat,formalisee,JOUE_PROUVE,fournitures,140000,,2026-06-29 14:00:00,https://www.francemarches.com/appel-offre/13joue003085442026-2026-fourniture-solutions-infrastructure,13joue003085442026-2026-fourniture-solutions-infrastructure.html,FRANCE_MARCHES,36.0,2 reconduction(s) — Les modalités de reconduction sont précisées dans les documents de la consultation,Seine-et-Marne,98541460,98541460|48822000,fournitures_courantes_services,True,fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='fournitures'; CCAG fournitures; titre contient 'fourniture'; titre contient 'prestation',oui,reference,Publication JOUE avérée.,JOUE_PROUVE,JOUE_PROUVE,canonical,fournitures,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement
13/joue/003107212026,"Maintien en Condition Opérationnelle de l'Infrastructure Système, Stockage, Serveurs et Sauvegarde \\\/ Renouvellement, installation et maintenance de composants essentiels - GHT de la Nièvre",Centre Hospitalier de l'Agglomération de Nevers,etablissement_public,hospitaliere,MAPA,JOUE_PROUVE,fournitures,216000,,2026-06-05 12:00:00,https://www.francemarches.com/appel-offre/13joue003107212026-2026-maintien-condition-operationnelle,13joue003107212026-2026-maintien-condition-operationnelle.html,FRANCE_MARCHES,,"3 reconduction(s) — La tranche 1 est reconductible tacitement 1 fois 12 mois ; les tranches 2, 3, 4, 5 sont reconductibles tacitement 3 fois 12 mois",Nièvre,72500000,72500000,fournitures_courantes_services,False,,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='fournitures'; CCAG fournitures; titre contient 'serveur'; titre contient 'maintenance',oui,reference,Publication JOUE avérée.,JOUE_PROUVE,JOUE_PROUVE,canonical,fournitures,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement
2026-005,Réalisation d’opérations comptables et assistance fonctionnelle sur le système d’information financier et comptable SIFAC/SIFAC+ (S4/HANA SAP) de CentraleSupelec,EOESRI / SUPELEC - Centrale SUPELEC,etablissement_public,etat,inconnu,INDETERMINE,services,140000,,2026-06-12 12:00:00,https://www.marches-publics.gouv.fr/app.php/entreprise/consultation/2987833?orgAcronyme=f2h,2987833?orgAcronyme=f2h.html,PLACE_NUMERIC,,,(91) Essonne,72212440,72212440|79211100|95184411,,True,ccag_type_manquant,,ABSENTE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; titre contient 'assistance',non,,Aucune preuve de procédure détectée.,INDETERMINE,INDETERMINE,fallback_place,services,PROPRE,non,faible,,Structure PLACE sans zones annexes détectées
26_AMOE_AST,Accord-cadre d’assistance à maîtrise d’œuvre des applications du socle transverse,MJL / SG / DNUM - Direction du numérique,etat,etat,formalisee,FORMALISEE_SANS_PREUVE_JOUE,services,140000,,2026-06-17 14:00:00,https://www.marches-publics.gouv.fr/app.php/entreprise/consultation/2990888?orgAcronyme=d3f,2990888?orgAcronyme=d3f.html,PLACE_NUMERIC,,,Ministère de la Justice,72267100,72267100|72227000|09267845,prestations_intellectuelles,False,,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'assistance',non,,Procédure formalisée explicitement qualifiée.,FORMALISEE_SANS_PREUVE_JOUE,FORMALISEE_SANS_PREUVE_JOUE,fallback_place,services,PROPRE,non,faible,,Structure isolée
37AO26154015290520267275,"Cadrage, la conception, le développement, le maintien en conditions opérationnelles et de sécurité et l'assistance pour les applications composant le système d'information du Casier Judiciaire",Ministère de la Justice,etat,etat,MAPA,MAPA_SOUS_SEUIL,services,140000,,2026-05-29 00:00:00,https://www.francemarches.com/appel-offre/37ao26154015290520267275-2026-cadrage-conception-developpement,37ao26154015290520267275-2026-cadrage-conception-developpement.html,FRANCE_MARCHES,,,Paris (75),29052026,29052026|72267100|72267000,,True,ccag_type_manquant,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; titre contient 'assistance',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,services,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement
37AO26181552260520267275,"Prestations d'assistance technique, d'expertise et de conseil concernant les infrastructures, les services applicatifs et l'urbanisation du système d'information (' SI ') de la CNAF",CNAF Établissement public,etablissement_public,etat,MAPA,MAPA_SOUS_SEUIL,services,140000,,2026-05-26 00:00:00,https://www.francemarches.com/appel-offre/37ao26181552260520267275-2026-prestations-assistance-technique,37ao26181552260520267275-2026-prestations-assistance-technique.html,FRANCE_MARCHES,,,Paris (75),26052026,26052026|72600000|72220000,tic,False,,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'service',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,services,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement
3/boamp/2640079,"Mise à disposition, adaptation et maintenance du système d'information financière destiné à la gestion budgétaire et comptable de la HAS, organisme en comptabilité budgétaire publique.",Haute Autorité de Santé,etablissement_public,etat,formalisee,FORMALISEE_SANS_PREUVE_JOUE,services,140000,,2026-07-08 12:00:00,https://www.francemarches.com/appel-offre/3boamp2640079-2026-mise-disposition-adaptation,3boamp2640079-2026-mise-disposition-adaptation.html,FRANCE_MARCHES,48.0,,Seine-Saint-Denis,72000000,72000000|48442000,,True,ccag_type_manquant | fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; titre contient 'maintenance',non,,Procédure formalisée explicitement qualifiée.,FORMALISEE_SANS_PREUVE_JOUE,FORMALISEE_SANS_PREUVE_JOUE,canonical,services,PROPRE_AVEC_RISQUE_STRUCTUREL,non,faible,avis_similaires,Structure BOAMP - conteneur main isolé
3/boamp/2641049,Assistance externe pour la conduite de consultations organisées dans le cadre des dispositions du code de la commande publique pour les marchés de techniques de l'information et de la communication,Direction Générale des Finances Publiques,etat,etat,formalisee,FORMALISEE_SANS_PREUVE_JOUE,services,140000,400000 EUR,2026-06-04 00:00:00,https://www.francemarches.com/appel-offre/3boamp2641049-2026-assistance-externe-pour,3boamp2641049-2026-assistance-externe-pour.html,FRANCE_MARCHES,48.0,,Seine-Saint-Denis (93),72220000,72220000,prestations_intellectuelles,False,,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'assistance',non,,Procédure formalisée explicitement qualifiée.,FORMALISEE_SANS_PREUVE_JOUE,FORMALISEE_SANS_PREUVE_JOUE,canonical,services,PROPRE_AVEC_RISQUE_STRUCTUREL,non,faible,avis_similaires,Extraction ciblée sur bloc principal
3/boamp/2641974,Maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP,VILLE de PARIS - DFA - SDA,collectivite_territoriale,territoriale,formalisee,FORMALISEE_SANS_PREUVE_JOUE,services,216000,,2026-06-09 12:00:00,https://www.francemarches.com/appel-offre/3boamp2641974-2026-maintien-condition-operationnelle,3boamp2641974-2026-maintien-condition-operationnelle.html,FRANCE_MARCHES,48.0,,Paris,72250000,72250000|79999100|72311100|79995200|60181000|45510000|79952000|22112000|30237380|22111000,,True,ccag_type_manquant,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,titre contient 'service',non,,Procédure formalisée explicitement qualifiée.,FORMALISEE_SANS_PREUVE_JOUE,FORMALISEE_SANS_PREUVE_JOUE,canonical,,PROPRE_AVEC_RISQUE_STRUCTUREL,non,faible,avis_similaires,Structure isolée correctement
3/boamp/2642071,ASSISTANCE EN INGENIERIE DE COORDINATION DE PROJETS DATA \\\/ INGENIERIE D'EXPERTISE DATA AU SEIN DE LA DIRECTION DU SYSTEME D'INFORMATION DE LA REGION NOUVELLE-AQUITAINE,Région Nouvelle-Aquitaine,collectivite_territoriale,territoriale,formalisee,FORMALISEE_SANS_PREUVE_JOUE,services,216000,,2026-05-29 12:00:00,https://www.francemarches.com/appel-offre/3boamp2642071-2026-assistance-ingenierie-coordination,3boamp2642071-2026-assistance-ingenierie-coordination.html,FRANCE_MARCHES,3.0,"1 reconduction(s) — L'accord-cadre est conclu pour une période initiale de 24 mois à compter de sa notification. L'accord-cadre est reconduit tacitement jusqu'à son terme. Le nombre de périodes de reconduction est fixé à 1. La durée de chaque période de reconduction est de 24 mois. La durée maximale du contrat, toutes périodes confondues, est de 48 mois.",Gironde,72220000,72220000|45421000,travaux,False,,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG travaux; titre contient 'assistance',non,,Procédure formalisée explicitement qualifiée.,FORMALISEE_SANS_PREUVE_JOUE,FORMALISEE_SANS_PREUVE_JOUE,canonical,services,PROPRE_AVEC_RISQUE_STRUCTUREL,non,faible,avis_similaires,Sélecteurs sur main container
3/boamp/2642106,Acquisition et mise en œuvre d'une solution ERP en mode SaaS avec site web marchand et application mobile,Association ASF Vacances,inconnu,hors_fonction_publique,formalisee,FORMALISEE_SANS_PREUVE_JOUE,indetermine,,,2026-06-05 14:00:00,https://www.francemarches.com/appel-offre/3boamp2642106-2026-acquisition-mise-oeuvre,3boamp2642106-2026-acquisition-mise-oeuvre.html,FRANCE_MARCHES,48.0,3 reconduction(s) — Le lot 1 comporte trois reconductions.,Seine-Saint-Denis,72000000,72000000,,True,ccag_type_manquant | fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,Aucun indice typologique clair,non,,Procédure formalisée explicitement qualifiée.,FORMALISEE_SANS_PREUVE_JOUE,FORMALISEE_SANS_PREUVE_JOUE,canonical,,PROPRE_AVEC_RISQUE_STRUCTUREL,non,faible,avis_similaires,Extraction non contaminée
3/boamp/2642682,Renouvellement et maintenance des serveurs de sauvegarde et prestations associées,SICIO,inconnu,inconnue,formalisee,FORMALISEE_SANS_PREUVE_JOUE,services,,,2026-06-04 12:00:00,https://www.francemarches.com/appel-offre/3boamp2642682-2026-renouvellement-maintenance-serveurs,3boamp2642682-2026-renouvellement-maintenance-serveurs.html,FRANCE_MARCHES,48.0,,Val-de-Marne,72250000,72250000,,True,ccag_type_manquant | fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='fournitures'; titre contient 'serveur'; titre contient 'prestation',non,,Procédure formalisée explicitement qualifiée.,FORMALISEE_SANS_PREUVE_JOUE,FORMALISEE_SANS_PREUVE_JOUE,canonical,fournitures,PROPRE_AVEC_RISQUE_STRUCTUREL,non,faible,avis_similaires,Isolation structurelle
3/boamp/2643374,REFONTE DU SITE INTERNET DE L'ACADEMIE FRANCAISE - HEBERGEMENT - MAINTENANCE,ACADEMIE FRANCAISE,etablissement_public,etat,MAPA,MAPA_SOUS_SEUIL,services,140000,,,https://www.francemarches.com/appel-offre/3boamp2643374-2026-refonte-site-internet,3boamp2643374-2026-refonte-site-internet.html,FRANCE_MARCHES,,,Paris (75),72000000,72000000,tic,True,date_limite_manquante | fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'maintenance',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,services,PROPRE_AVEC_RISQUE_STRUCTUREL,non,faible,avis_similaires,Sélecteurs ciblés
3/boamp/2643609,Prestations de services informatiques pour le développement et la maintenance des outils informatiques du GCS UniHA,GCS-UNIHA,etablissement_public,hospitaliere,formalisee,FORMALISEE_SANS_PREUVE_JOUE,services,216000,900000 EUR,2026-06-04 00:00:00,https://www.francemarches.com/appel-offre/3boamp2643609-2026-prestations-services-informatiques,3boamp2643609-2026-prestations-services-informatiques.html,FRANCE_MARCHES,4.0,,Rhône (69),72200000,72200000|72261000|72262000,,True,ccag_type_manquant | fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,titre contient 'service',non,,Procédure formalisée explicitement qualifiée.,FORMALISEE_SANS_PREUVE_JOUE,FORMALISEE_SANS_PREUVE_JOUE,canonical,,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement
3/boamp/2644098,"Prestations de conseil, de collecte, de développement, d'exploitation de données pour le Data Office",Organisation qui passe un marché subventionné par un pouvoir adjudicateur,inconnu,hors_fonction_publique,formalisee,FORMALISEE_SANS_PREUVE_JOUE,services,,,2026-06-03 16:00:00,https://www.francemarches.com/appel-offre/3boamp2644098-2026-prestations-conseil-collecte,3boamp2644098-2026-prestations-conseil-collecte.html,FRANCE_MARCHES,12.0,2 reconduction(s),Paris,72600000,72600000,prestations_intellectuelles,True,fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'prestation',non,,Procédure formalisée explicitement qualifiée.,FORMALISEE_SANS_PREUVE_JOUE,FORMALISEE_SANS_PREUVE_JOUE,canonical,services,PROPRE_AVEC_RISQUE_STRUCTUREL,non,faible,avis_similaires,Conteneur principal identifié
3/boamp/2644226,"Assistance à maîtrise d'oeuvre : prestations d'expertise, de développements informatiques et d'assistance technique",INSTITUT FRANCAIS DUCHEVAL ET DE L'EQUITATION,etablissement_public,etat,formalisee,FORMALISEE_SANS_PREUVE_JOUE,services,140000,2000000 EUR,2026-06-04 00:00:00,https://www.francemarches.com/appel-offre/3boamp2644226-2026-assistance-maitrise-oeuvre,3boamp2644226-2026-assistance-maitrise-oeuvre.html,FRANCE_MARCHES,48.0,,Corrèze (19),72500000,72500000,prestations_intellectuelles,False,,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'prestation',non,,Procédure formalisée explicitement qualifiée.,FORMALISEE_SANS_PREUVE_JOUE,FORMALISEE_SANS_PREUVE_JOUE,canonical,services,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement
3/boamp/2644837,TMA - TME DU SYSTEME D'INFORMATION DU DPSM,Bureau de Recherche en Géologie Minière (BRGM),etablissement_public,etat,formalisee,FORMALISEE_SANS_PREUVE_JOUE,services,140000,,2026-06-05 12:00:00,https://www.francemarches.com/appel-offre/3boamp2644837-2026-systeme-information-dpsm,3boamp2644837-2026-systeme-information-dpsm.html,FRANCE_MARCHES,48.0,0 reconduction(s),Loiret,72610000,72610000,,True,ccag_type_manquant | fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; titre contient 'tma',non,,Procédure formalisée explicitement qualifiée.,FORMALISEE_SANS_PREUVE_JOUE,FORMALISEE_SANS_PREUVE_JOUE,canonical,services,PROPRE_AVEC_RISQUE_STRUCTUREL,non,faible,avis_similaires,Extraction isolée
A2026-018,Fourniture d'une solution de gestion pédagogique des doctorants,EOESRI / COMUE - UdL - COMUE &quot;Université de Lyon&quot;,etablissement_public,etat,inconnu,INDETERMINE,fournitures,140000,,2026-06-12 12:00:00,https://www.marches-publics.gouv.fr/app.php/entreprise/consultation/2986378?orgAcronyme=f2h,2986378?orgAcronyme=f2h.html,PLACE_NUMERIC,,,(69) Rhône,72260000,72260000|23405819,,True,ccag_type_manquant,,ABSENTE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,titre contient 'fourniture',non,,Aucune preuve de procédure détectée.,INDETERMINE,INDETERMINE,fallback_place,,PROPRE,non,faible,,Aucune zone annexe présente
AOO_2026-02,Assistance à maîtrise d’ouvrage pour la conception et la passation de marchés publics de développement d’outils de gestion et de visualisation de données sur l’eau sur le bassin versant Marais poitevin,"Ministère de la Transition Écologique, Ministère de la Cohésion des Territoires, Ministère de la Mer",etat,etat,inconnu,INDETERMINE,services,140000,,2026-06-22 12:00:00,https://www.marches-publics.gouv.fr/app.php/entreprise/consultation/2992873?orgAcronyme=d4t,2992873?orgAcronyme=d4t.html,PLACE_NUMERIC,,,"(85) Vendée, (17) Charente-Maritime, (79) Deux-Sèvres",71241000,71241000|48810000|72222000|62611154,prestations_intellectuelles,False,,,ABSENTE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'ouvrage'; titre contient 'assistance',non,,Aucune preuve de procédure détectée.,INDETERMINE,INDETERMINE,fallback_place,services,PROPRE,non,faible,,Pas de contamination possible
B26-01107-LS,Prestations de tierce maintenance applicative (TMA) des Logiciels Systèmes Energétiques du CEA Liten,AO / CEA / CEA / GRENOBLE - CENTRE DE GRENOBLE,etablissement_public,etat,inconnu,INDETERMINE,services,140000,,2026-06-10 16:00:00,https://www.marches-publics.gouv.fr/app.php/entreprise/consultation/2997383?orgAcronyme=s2d,2997383?orgAcronyme=s2d.html,PLACE_NUMERIC,,,(38) Isère,72250000,72250000|47187902,tic,False,,,ABSENTE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'logiciel'; titre contient 'prestation',non,,Aucune preuve de procédure détectée.,INDETERMINE,INDETERMINE,fallback_place,services,PROPRE,non,faible,,Conteneur principal unique
