Acheteur_auto,Acheteur_clean,Acheteur_manual,Colonne 1,Colonne 2,Column 29,Date limite de remise des offres,Date_limite_auto,Date_limite_manual,Durée initiale du marché,Estimation (devise),Estimation du marché,Estimation_auto,Estimation_manual,Fonction publique,Intitulé synthétique,Localisation,Localisation_auto,Localisation_clean,Localisation_manual,Plateforme,Reconduction(s),Référence,Type,Type d'AO,URL source HTTPS,annonce_numero,conflits_detectes,cpv_principal,cpv_supplementaires,criteres_attribution,departements_publication,duree_reelle,extraction_notes,lots_detail,match_source,match_status,niveau_confiance,nombre_lots,options_reconduction,review_needed,source_type
REGION NORMANDIE,REGION NORMANDIE,,-,-,-,-,-,,-,EUR,-,-,,-,Groupement de commandes pour la fourniture de services de sécurité informatique pour les réseaux d'accès normands au profit des Etablissements Publics Locaux d'Enseignement,-,-,-,,France Marchés,-,13/joue/003304802026,-,-,-,,"References multiples: {'S-PF-1817964', '2026-TIC-DRTN-0060'}",72600000,"72600000, 72600000, 72600000",,,estimée,[2026-05-16 02:10:40] title: weborama_from_3 → 'Groupement de commandes pour la fourniture de serv...'; [2026-05-16 02:10:40] Extraction réussie (completude: 100%),,13joue003304802026-2026-groupement-commandes-pour?q=72200000.html,new,faible,0,Le contrat prévoit la possibilité de confier ultérieurement au titulaire du marché un ou plusieurs marchés ayant pour objet la réalisation de prestations similaires,,FRANCE_MARCHES
Synchrotron Soleil,Synchrotron Soleil,,-,-,-,2026-06-01 00:00:00,2026-06-01 00:00:00,,-,,-,-,,-,Prestations logicielles relatives aux automates industriels pour SOLEIL II.,SAINT-AUBIN (91190) - Essonne ( FR104 ),SAINT-AUBIN (91190) - Essonne ( FR104 ),SAINT-AUBIN (91190) - Essonne ( FR104 ),,Marchés Online,-,2026-022-BL,-,-,-,,,,,,,,"[2026-05-16 02:10:40] title: h1_title_long_from_4_candidates → 'Prestations logicielles relatives aux automates in...'; [2026-05-16 02:10:40] buyer: company_link_from_4_candidates → 'Synchrotron Soleil'; [2026-05-16 02:10:40] location: section_5_lieu → 'SAINT-AUBIN (91190) - Essonne ( FR104 )'; [2026-05-16 02:10:40] date_limite: limite_visible_%d/%m/%Y → '01/06/2026'; [2026-05-16 02:10:40] cpv: found_11_codes → '72600000,48100000,72600000'; [2026-05-16 02:10:40] procedure_type: section_2 → 'Ouverte'; [2026-05-16 02:10:40] contract_nature: section_2_or_5 → 'Services'; [2026-05-16 02:10:40] duree_mois: section_5_1_3_structured → '12 mois = 12 mois'; [2026-05-16 02:10:40] Lots: LOT-0001 (12 mois); LOT-0002 (6 mois); LOT-0003 (6 mois); [2026-05-16 02:10:40] Extraction partielle (completude: 67%)",,2026-022-BL.html,new,,,,,MARCHES_ONLINE
GHT de la Nièvre - Centre hospitalier Pierre Beregovoy,GHT de la Nièvre - Centre hospitalier Pierre Beregovoy,,-,-,-,2026-06-05 00:00:00,2026-06-05 00:00:00,,-,EUR,-,-,,-,"Maintien en Condition Opérationnelle de l'Infrastructure Système, Stockage, Serveurs et Sauvegarde / Renouvellement, installation et maintenance de composants essentiels - GHT de la Nièvre.",NEVERS cedex (58033) - Nièvre ( FRC12 ),NEVERS cedex (58033) - Nièvre ( FRC12 ),NEVERS cedex (58033) - Nièvre ( FRC12 ),,Marchés Online,-,2026-30,-,-,-,,"References multiples: {'2026-30', '0'}",72500000,72500000,,,estimée,"[2026-05-16 02:10:40] title: h1_title_long_from_4_candidates → 'Maintien en Condition Opérationnelle de l'Infrastr...'; [2026-05-16 02:10:40] buyer: company_link_from_4_candidates → 'GHT de la Nièvre - Centre hospitalier Pierre Bereg...'; [2026-05-16 02:10:40] fonction_publique: activite_sante → 'hospitaliere'; [2026-05-16 02:10:40] location: section_5_lieu → 'NEVERS cedex (58033) - Nièvre ( FRC12 )'; [2026-05-16 02:10:40] date_limite: limite_visible_%d/%m/%Y → '05/06/2026'; [2026-05-16 02:10:40] cpv: found_5_codes → '72500000,72500000,20001120'; [2026-05-16 02:10:40] procedure_type: section_2 → 'Ouverte'; [2026-05-16 02:10:40] contract_nature: section_2_or_5 → 'Services'; [2026-05-16 02:10:40] Lots: LOT-0001; [2026-05-16 02:10:40] Extraction partielle (completude: 67%)",,2026-30.html,new,faible,0,,,MARCHES_ONLINE
SPL SEMEA,SPL SEMEA,,-,-,-,2026-06-02 00:00:00,2026-06-02 00:00:00,,-,,-,-,,-,"Fourniture et intégration de matériels et logiciels informatiques, services d'infogérance et de cybersécurité.",Angouleme (16000) - Charente ( FRI31 ),Angouleme (16000) - Charente ( FRI31 ),Angouleme (16000) - Charente ( FRI31 ),,Marchés Online,-,202604-02,-,-,-,,,,,,,,"[2026-05-16 02:10:40] title: h1_title_long_from_4_candidates → 'Fourniture et intégration de matériels et logiciel...'; [2026-05-16 02:10:40] buyer: company_link_from_2_candidates → 'SPL SEMEA'; [2026-05-16 02:10:40] location: section_5_lieu → 'Angouleme (16000) - Charente ( FRI31 )'; [2026-05-16 02:10:40] date_limite: limite_visible_%d/%m/%Y → '02/06/2026'; [2026-05-16 02:10:40] cpv: found_14_codes → '72500000,72315200,72700000'; [2026-05-16 02:10:40] procedure_type: section_2 → 'Négociée avec publication préalable d'un appel à l...'; [2026-05-16 02:10:40] contract_nature: section_2_or_5 → 'Services'; [2026-05-16 02:10:40] Lots: LOT-0000; [2026-05-16 02:10:40] Extraction partielle (completude: 67%)",,202604-02.html,new,,,,,MARCHES_ONLINE
Région Grand Est,Région Grand Est,,-,-,-,2026-06-18 00:00:00,2026-06-18 00:00:00,,-,,6500000.0,6500000.0,,-,"Prestations de support, infogérance et supervision pour les Services Numériques Éducatifs, et pour les environnements de travail, Data Centers, Infrastructures, Réseaux, Pare-Feux et Téléphonie de la Région Grand-Est, ainsi que de stockage ...",67 - REGION GRAND EST,67 - REGION GRAND EST,67 - REGION GRAND EST,,Marchés Online,-,2026A0239,-,-,-,,,,,,,,"[2026-05-16 02:10:40] title: h1_title_long_from_4_candidates → 'Prestations de support, infogérance et supervision...'; [2026-05-16 02:10:40] buyer: company_link_from_4_candidates → 'Région Grand Est'; [2026-05-16 02:10:40] location: info_block → '67 - REGION GRAND EST'; [2026-05-16 02:10:40] date_limite: limite_visible_%d/%m/%Y → '18/06/2026'; [2026-05-16 02:10:40] cpv: found_32_codes → '72253000,63120000,72250000'; [2026-05-16 02:10:40] procedure_type: section_2 → 'Ouverte'; [2026-05-16 02:10:40] contract_nature: section_2_or_5 → 'Services'; [2026-05-16 02:10:40] duree_mois: section_5_1_3_structured → '24 mois = 24 mois'; [2026-05-16 02:10:40] estimation_eur: section_5_1_5_valeur_estimee → '6500000 EUR'; [2026-05-16 02:10:40] Lots: LOT-0001 (24 mois) est=6500000EUR; LOT-0002 (24 mois) est=5500000EUR; LOT-0003 (24 mois) est=1875000EUR; LOT-0004 (24 mois) est=1000000EUR; [2026-05-16 02:10:40] Valeur estimée: 6500000 EUR; [2026-05-16 02:10:40] Extraction partielle (completude: 67%)",,2026A0239.html,new,,,,,MARCHES_ONLINE
SICIO,SICIO,,-,-,-,2026-06-04 00:00:00,2026-06-04 00:00:00,,-,EUR,800000.0,800000.0,,-,Renouvellement et maintenance des serveurs de sauvegarde et prestations associées.,Villeneuve le roi (94290) - Val-de-Marne ( FR107 ),Villeneuve le roi (94290) - Val-de-Marne ( FR107 ),Villeneuve le roi (94290) - Val-de-Marne ( FR107 ),,Marchés Online,-,2026M01,-,-,-,26-42682,"References multiples: {'2026M01 LOT 1', '2026M01 LOT 2'}; Somme lots (800.0) != global (1.025)",72250000,"72250000, 72250000",,94,estimée,"[2026-05-16 02:10:40] title: h1_title_long_from_4_candidates → 'Renouvellement et maintenance des serveurs de sauv...'; [2026-05-16 02:10:40] buyer: company_link_from_4_candidates → 'SICIO'; [2026-05-16 02:10:40] fonction_publique: forme_droit_public → 'etat'; [2026-05-16 02:10:40] location: section_5_lieu → 'Villeneuve le roi (94290) - Val-de-Marne ( FR107 )'; [2026-05-16 02:10:40] date_limite: limite_visible_%d/%m/%Y → '04/06/2026'; [2026-05-16 02:10:40] cpv: found_7_codes → '72250000,72250000,72250000'; [2026-05-16 02:10:40] procedure_type: section_2 → 'Ouverte'; [2026-05-16 02:10:40] contract_nature: section_2_or_5 → 'Services'; [2026-05-16 02:10:40] duree_mois: section_5_1_3_structured → '4 ans = 48 mois'; [2026-05-16 02:10:40] estimation_eur: section_5_1_5_valeur_estimee → '800000 EUR'; [2026-05-16 02:10:40] Lots: LOT-0001 (4 ans) est=800000EUR; LOT-0002 (4 ans) est=225000EUR; [2026-05-16 02:10:40] Valeur estimée: 800000 EUR; [2026-05-16 02:10:40] Extraction partielle (completude: 67%)",Lot LOT-0001: Fourniture de la plateforme de sauvegarde.... (CPV 72250000),2026M01.html,new,faible,1,,,MARCHES_ONLINE
Etablissement Public du Parc et de la Grande Halle de la Villette (EPPGHV),Etablissement Public du Parc et de la Grande Halle de la Villette (EPPGHV),,-,-,-,2026-06-01 00:00:00,2026-06-01 00:00:00,,-,EUR,660000.0,660000.0,,-,"Marché de prestations de maintenance d'assistance et d'infogérance du parc informatique, réseau et télécom de l'EPPGHV..",Paris (75019) - Paris ( FR101 ),Paris (75019) - Paris ( FR101 ),Paris (75019) - Paris ( FR101 ),,Marchés Online,-,2026MDAF0063,-,-,-,26-41450,,72500000,"72610000, 72611000, 72600000, 72500000, 72610000, 72611000, 72600000",,"75, 77, 91, 92, 93, 94, 95",estimée,"[2026-05-16 02:10:40] title: h1_title_long_from_4_candidates → 'Marché de prestations de maintenance d'assistance ...'; [2026-05-16 02:10:40] buyer: company_link_from_4_candidates → 'Etablissement Public du Parc et de la Grande Halle...'; [2026-05-16 02:10:40] fonction_publique: forme_droit_public → 'etat'; [2026-05-16 02:10:40] location: section_5_lieu → 'Paris (75019) - Paris ( FR101 )'; [2026-05-16 02:10:40] date_limite: limite_visible_%d/%m/%Y → '01/06/2026'; [2026-05-16 02:10:40] cpv: found_12_codes → '72500000,72610000,72611000'; [2026-05-16 02:10:40] procedure_type: section_2 → 'Ouverte'; [2026-05-16 02:10:40] contract_nature: section_2_or_5 → 'Services'; [2026-05-16 02:10:40] duree_mois: section_5_1_3_structured → '4 ans = 48 mois'; [2026-05-16 02:10:40] estimation_eur: section_5_1_5_valeur_estimee → '660000 EUR'; [2026-05-16 02:10:40] Lots: LOT-0001 (4 ans) est=660000EUR max=160000EUR; [2026-05-16 02:10:40] Valeur estimée: 660000 EUR; [2026-05-16 02:10:40] Extraction partielle (completude: 67%)",Lot LOT-0001: MARCHE DE PRESTATIONS DE MAINTENANCE D'ASSISTANCE ... (CPV 72500000),2026MDAF0063.html,new,,1,"Offre de base : le marché est conclu pour 1 an ferme, reconduit tacitement trois (3) fois pour une durée d'un an (1) sans que sa durée totale n'excède quatre (4) ans. Offre variante exigée : le marché est conclu pour une durée ferme de 48 mois.",,MARCHES_ONLINE
Gaz Electricité de Grenoble,Gaz Electricité de Grenoble,,-,-,-,2026-05-26 00:00:00,2026-05-26 00:00:00,,-,,-,-,,-,"Fourniture, mise en oeuvre d'un Security Operation Center (SOC) managé et Protection des identités.",Grenoble (38042) - Isère (FRK24),Grenoble (38042) - Isère (FRK24),Grenoble (38042) - Isère (FRK24),,Marchés Online,-,2026_07.,-,-,-,,,,,,,,"[2026-05-16 02:10:40] title: h1_title_long_from_4_candidates → 'Fourniture, mise en oeuvre d'un Security Operation...'; [2026-05-16 02:10:40] buyer: company_link_from_2_candidates → 'Gaz Electricité de Grenoble'; [2026-05-16 02:10:40] location: section_5_lieu → 'Grenoble (38042) - Isère (FRK24)'; [2026-05-16 02:10:40] date_limite: limite_visible_%d/%m/%Y → '26/05/2026'; [2026-05-16 02:10:40] cpv: found_14_codes → '81857697,72222300,72222300'; [2026-05-16 02:10:40] procedure_type: section_2 → 'Négociée avec publication préalable d'un appel à l...'; [2026-05-16 02:10:40] Extraction partielle (completude: 67%)",,2026_07..html,new,,,,,MARCHES_ONLINE
Agence de l'Eau Seine Normandie,Agence de l'Eau Seine Normandie,,-,-,-,2026-05-26 00:00:00,2026-05-26 00:00:00,,-,,25000000.0,25000000.0,,-,Tierce maintenance d'exploitation et de services des agences de l'eau.,Courbevoie (92416) - Hauts-de-Seine ( FR105 ),Courbevoie (92416) - Hauts-de-Seine ( FR105 ),Courbevoie (92416) - Hauts-de-Seine ( FR105 ),,Marchés Online,-,26-011,-,-,-,,,,,,,,"[2026-05-16 02:10:41] title: h1_title_long_from_4_candidates → 'Tierce maintenance d'exploitation et de services d...'; [2026-05-16 02:10:41] buyer: company_link_from_4_candidates → 'Agence de l'Eau Seine Normandie'; [2026-05-16 02:10:41] fonction_publique: forme_droit_public → 'etat'; [2026-05-16 02:10:41] location: section_5_lieu → 'Courbevoie (92416) - Hauts-de-Seine ( FR105 )'; [2026-05-16 02:10:41] date_limite: limite_visible_%d/%m/%Y → '26/05/2026'; [2026-05-16 02:10:41] cpv: found_7_codes → '72250000,72514000,72250000'; [2026-05-16 02:10:41] procedure_type: section_2 → 'Négociée avec publication préalable d'un appel à l...'; [2026-05-16 02:10:41] contract_nature: section_2_or_5 → 'Services'; [2026-05-16 02:10:41] estimation_eur: section_2_1_3_global → '25000000 EUR'; [2026-05-16 02:10:41] Lots: LOT-0001 max=25000000EUR; [2026-05-16 02:10:41] Valeur globale accord-cadre: 25000000 EUR; [2026-05-16 02:10:41] Extraction partielle (completude: 67%)",,26-011.html,new,,,,,MARCHES_ONLINE
Direction Générale des Finances Publiques,Direction Générale des Finances Publiques,,-,-,-,2026-06-04 17:00:00,2026-06-04 17:00:00,,-,,-,-,,-,Assistance externe pour la conduite de consultations organisées dans le cadre des dispositions du code de la commande publique pour les marchés de techniques de l’information et de la communication.,Montreuil (93186),Montreuil (93186),Montreuil (93186),,BOAMP,-,DGFIP-DRS-2500077,-,-,-,,,,,,,,"[2026-05-16 02:10:41] title: from_2_candidates → 'Assistance externe pour la conduite de consultatio...'; [2026-05-16 02:10:41] reference: identifiant_interne → 'DGFIP-DRS-2500077'; [2026-05-16 02:10:41] buyer: nom_officiel → 'Direction Générale des Finances Publiques'; [2026-05-16 02:10:41] location: ville_cp → 'Montreuil (93186)'; [2026-05-16 02:10:41] date_limite: date_reception_%d/%m/%Y → '04/06/2026 17:00'; [2026-05-16 02:10:41] cpv: found_7 → '72220000,72220000,13000049'; [2026-05-16 02:10:41] Extraction réussie (completude: 100%)",,26-41049.html,new,,,,,BOAMP_XML
