reference,titre,acheteur,type_acheteur,fonction_publique,procedure_type,type_marche,ccag_type,cpv_principal,cpv_secondaires,localisation,date_limite_remise_offres,duree,renouvellements,montant_estime,url_marche,url_provenance,fichier_source_html,plateforme_source,verification_requise,raisons_verification,notes_verification,typologie_marche_verifiee,seuil_formalise_applicable,categorie_acheteur_seuil,preuve_joue_detectee,source_preuve_joue,niveau_procedure_deduit,justification_juridique_courte,code_couleur_procedure
13/joue/003036002026,Accord-cadre Infrastructure hyperconvergée et VDI (Virtual Desktop Infrastructure),Compagnie Nationale du Rhône,inconnu,hors_fonction_publique,formalisee,,,72600000,72600000|72263000|48820000,Rhône,2026-06-10 19:00:00,96.0,3 reconduction(s),,https://www.francemarches.com/appel-offre/13joue003036002026-2026-accord-cadre-infrastructure,canonical,13joue003036002026-2026-accord-cadre-infrastructure.html,FRANCE_MARCHES,True,ccag_type_manquant | fonction_publique_inconnue,,fournitures,216000,collectivite_territoriale_etablissement_public,oui,Reference contient JOUE,JOUE_PROUVE,Preuve explicite de publication JOUE detectee ; la valeur est presumee au moins egale au seuil europeen applicable.,JOUE_PROUVE
13/joue/003085442026,"Fourniture de solutions d'infrastructure informatique (matériels, logiciels et prestations associées)",Union des Groupements d'Achats Publics,etablissement_public,etat,formalisee,fournitures,fournitures_courantes_services,98541460,98541460|48822000,Seine-et-Marne,2026-06-29 14:00:00,36.0,2 reconduction(s) — Les modalités de reconduction sont précisées dans les documents de la consultation,,https://www.francemarches.com/appel-offre/13joue003085442026-2026-fourniture-solutions-infrastructure,canonical,13joue003085442026-2026-fourniture-solutions-infrastructure.html,FRANCE_MARCHES,True,fonction_publique_inconnue,,fournitures,140000,autorite_publique_centrale,oui,Reference contient JOUE,JOUE_PROUVE,Preuve explicite de publication JOUE detectee ; la valeur est presumee au moins egale au seuil europeen applicable.,JOUE_PROUVE
13/joue/003107212026,"Maintien en Condition Opérationnelle de l'Infrastructure Système, Stockage, Serveurs et Sauvegarde \\\/ Renouvellement, installation et maintenance de composants essentiels - GHT de la Nièvre",Centre Hospitalier de l'Agglomération de Nevers,etablissement_public,hospitaliere,MAPA,fournitures,fournitures_courantes_services,72500000,72500000,Nièvre,2026-06-05 12:00:00,,"3 reconduction(s) — La tranche 1 est reconductible tacitement 1 fois 12 mois ; les tranches 2, 3, 4, 5 sont reconductibles tacitement 3 fois 12 mois",,https://www.francemarches.com/appel-offre/13joue003107212026-2026-maintien-condition-operationnelle,canonical,13joue003107212026-2026-maintien-condition-operationnelle.html,FRANCE_MARCHES,False,,,fournitures,216000,collectivite_territoriale_etablissement_public,oui,Reference contient JOUE,MAPA_SOUS_SEUIL,"Procedure indiquee comme MAPA ; le marche est presume sous le seuil europeen applicable (216,000 EUR).",MAPA_SOUS_SEUIL
2026-005,Réalisation d’opérations comptables et assistance fonctionnelle sur le système d’information financier et comptable SIFAC/SIFAC+ (S4/HANA SAP) de CentraleSupelec,EOESRI / SUPELEC - Centrale SUPELEC,etablissement_public,etat,inconnu,services,,72212440,72212440|79211100|95184411,(91) Essonne,2026-06-12 12:00:00,,,,https://www.marches-publics.gouv.fr/app.php/entreprise/consultation/2987833?orgAcronyme=f2h,fallback_place,2987833?orgAcronyme=f2h.html,PLACE_NUMERIC,True,ccag_type_manquant,,services,140000,autorite_publique_centrale,oui,URL marches-publics.gouv.fr (portal JOUE),INDETERMINE,Type de procedure non specifie ; impossible de qualifier le niveau de procedure.,INDETERMINE
26_AMOE_AST,Accord-cadre d’assistance à maîtrise d’œuvre des applications du socle transverse,MJL / SG / DNUM - Direction du numérique,etat,etat,formalisee,services,prestations_intellectuelles,72267100,72267100|72227000|09267845,Ministère de la Justice,2026-06-17 14:00:00,,,,https://www.marches-publics.gouv.fr/app.php/entreprise/consultation/2990888?orgAcronyme=d3f,fallback_place,2990888?orgAcronyme=d3f.html,PLACE_NUMERIC,False,,,services,140000,autorite_publique_centrale,oui,URL marches-publics.gouv.fr (portal JOUE),JOUE_PROUVE,Preuve explicite de publication JOUE detectee ; la valeur est presumee au moins egale au seuil europeen applicable.,JOUE_PROUVE
37AO26154015290520267275,"Cadrage, la conception, le développement, le maintien en conditions opérationnelles et de sécurité et l'assistance pour les applications composant le système d'information du Casier Judiciaire",Ministère de la Justice,etat,etat,MAPA,services,,29052026,29052026|72267100|72267000,Paris (75),2026-05-29 00:00:00,,,,https://www.francemarches.com/appel-offre/37ao26154015290520267275-2026-cadrage-conception-developpement,canonical,37ao26154015290520267275-2026-cadrage-conception-developpement.html,FRANCE_MARCHES,True,ccag_type_manquant,,services,140000,autorite_publique_centrale,non,Aucune preuve explicite JOUE detectee,MAPA_SOUS_SEUIL,"Procedure indiquee comme MAPA ; le marche est presume sous le seuil europeen applicable (140,000 EUR).",MAPA_SOUS_SEUIL
37AO26181552260520267275,"Prestations d'assistance technique, d'expertise et de conseil concernant les infrastructures, les services applicatifs et l'urbanisation du système d'information (' SI ') de la CNAF",CNAF Établissement public,etablissement_public,etat,MAPA,services,tic,26052026,26052026|72600000|72220000,Paris (75),2026-05-26 00:00:00,,,,https://www.francemarches.com/appel-offre/37ao26181552260520267275-2026-prestations-assistance-technique,canonical,37ao26181552260520267275-2026-prestations-assistance-technique.html,FRANCE_MARCHES,False,,,services,140000,autorite_publique_centrale,non,Aucune preuve explicite JOUE detectee,MAPA_SOUS_SEUIL,"Procedure indiquee comme MAPA ; le marche est presume sous le seuil europeen applicable (140,000 EUR).",MAPA_SOUS_SEUIL
3/boamp/2640079,"Mise à disposition, adaptation et maintenance du système d'information financière destiné à la gestion budgétaire et comptable de la HAS, organisme en comptabilité budgétaire publique.",Haute Autorité de Santé,etablissement_public,etat,formalisee,services,,72000000,72000000|48442000,Seine-Saint-Denis,2026-07-08 12:00:00,48.0,,,https://www.francemarches.com/appel-offre/3boamp2640079-2026-mise-disposition-adaptation,canonical,3boamp2640079-2026-mise-disposition-adaptation.html,FRANCE_MARCHES,True,ccag_type_manquant | fonction_publique_inconnue,,services,140000,autorite_publique_centrale,non,Aucune preuve explicite JOUE detectee,FORMALISEE_SANS_PREUVE_JOUE,Procedure formalisee detectee sans preuve explicite de publication JOUE. Le marche est probablement au-dessus du seuil de procedure formalisee mais la preuve JOUE n'est pas etablie.,FORMALISEE_SANS_PREUVE_JOUE
3/boamp/2641049,Assistance externe pour la conduite de consultations organisées dans le cadre des dispositions du code de la commande publique pour les marchés de techniques de l'information et de la communication,Direction Générale des Finances Publiques,etat,etat,formalisee,services,prestations_intellectuelles,72220000,72220000,Seine-Saint-Denis (93),2026-06-04 00:00:00,48.0,,400000 EUR,https://www.francemarches.com/appel-offre/3boamp2641049-2026-assistance-externe-pour,canonical,3boamp2641049-2026-assistance-externe-pour.html,FRANCE_MARCHES,False,,,services,140000,autorite_publique_centrale,non,Aucune preuve explicite JOUE detectee,FORMALISEE_SANS_PREUVE_JOUE,Procedure formalisee detectee sans preuve explicite de publication JOUE. Le marche est probablement au-dessus du seuil de procedure formalisee mais la preuve JOUE n'est pas etablie.,FORMALISEE_SANS_PREUVE_JOUE
3/boamp/2641974,Maintien en condition opérationnelle et l'accompagnement à l'évolution des infrastructures et services numériques de la Ville de Paris et du CASVP,VILLE de PARIS - DFA - SDA,collectivite_territoriale,territoriale,formalisee,,,72250000,72250000|79999100|72311100|79995200|60181000|45510000|79952000|22112000|30237380|22111000,Paris,2026-06-09 12:00:00,48.0,,,https://www.francemarches.com/appel-offre/3boamp2641974-2026-maintien-condition-operationnelle,canonical,3boamp2641974-2026-maintien-condition-operationnelle.html,FRANCE_MARCHES,True,ccag_type_manquant,,fournitures,216000,collectivite_territoriale_etablissement_public,non,Aucune preuve explicite JOUE detectee,FORMALISEE_SANS_PREUVE_JOUE,Procedure formalisee detectee sans preuve explicite de publication JOUE. Le marche est probablement au-dessus du seuil de procedure formalisee mais la preuve JOUE n'est pas etablie.,FORMALISEE_SANS_PREUVE_JOUE
3/boamp/2642071,ASSISTANCE EN INGENIERIE DE COORDINATION DE PROJETS DATA \\\/ INGENIERIE D'EXPERTISE DATA AU SEIN DE LA DIRECTION DU SYSTEME D'INFORMATION DE LA REGION NOUVELLE-AQUITAINE,Région Nouvelle-Aquitaine,collectivite_territoriale,territoriale,formalisee,services,travaux,72220000,72220000|45421000,Gironde,2026-05-29 12:00:00,3.0,"1 reconduction(s) — L'accord-cadre est conclu pour une période initiale de 24 mois à compter de sa notification. L'accord-cadre est reconduit tacitement jusqu'à son terme. Le nombre de périodes de reconduction est fixé à 1. La durée de chaque période de reconduction est de 24 mois. La durée maximale du contrat, toutes périodes confondues, est de 48 mois.",,https://www.francemarches.com/appel-offre/3boamp2642071-2026-assistance-ingenierie-coordination,canonical,3boamp2642071-2026-assistance-ingenierie-coordination.html,FRANCE_MARCHES,False,,,services,216000,collectivite_territoriale_etablissement_public,non,Aucune preuve explicite JOUE detectee,FORMALISEE_SANS_PREUVE_JOUE,Procedure formalisee detectee sans preuve explicite de publication JOUE. Le marche est probablement au-dessus du seuil de procedure formalisee mais la preuve JOUE n'est pas etablie.,FORMALISEE_SANS_PREUVE_JOUE
3/boamp/2642106,Acquisition et mise en œuvre d'une solution ERP en mode SaaS avec site web marchand et application mobile,Association ASF Vacances,inconnu,hors_fonction_publique,formalisee,,,72000000,72000000,Seine-Saint-Denis,2026-06-05 14:00:00,48.0,3 reconduction(s) — Le lot 1 comporte trois reconductions.,,https://www.francemarches.com/appel-offre/3boamp2642106-2026-acquisition-mise-oeuvre,canonical,3boamp2642106-2026-acquisition-mise-oeuvre.html,FRANCE_MARCHES,True,ccag_type_manquant | fonction_publique_inconnue,,indetermine,216000,collectivite_territoriale_etablissement_public,non,Aucune preuve explicite JOUE detectee,INDETERMINE,Typologie du marche insuffisamment etablie pour appliquer le seuil pertinent.,INDETERMINE
3/boamp/2642682,Renouvellement et maintenance des serveurs de sauvegarde et prestations associées,SICIO,inconnu,inconnue,formalisee,fournitures,,72250000,72250000,Val-de-Marne,2026-06-04 12:00:00,48.0,,,https://www.francemarches.com/appel-offre/3boamp2642682-2026-renouvellement-maintenance-serveurs,canonical,3boamp2642682-2026-renouvellement-maintenance-serveurs.html,FRANCE_MARCHES,True,ccag_type_manquant | fonction_publique_inconnue,,fournitures,216000,collectivite_territoriale_etablissement_public,non,Aucune preuve explicite JOUE detectee,FORMALISEE_SANS_PREUVE_JOUE,Procedure formalisee detectee sans preuve explicite de publication JOUE. Le marche est probablement au-dessus du seuil de procedure formalisee mais la preuve JOUE n'est pas etablie.,FORMALISEE_SANS_PREUVE_JOUE
3/boamp/2643374,REFONTE DU SITE INTERNET DE L'ACADEMIE FRANCAISE - HEBERGEMENT - MAINTENANCE,ACADEMIE FRANCAISE,etablissement_public,etat,MAPA,services,tic,72000000,72000000,Paris (75),,,,,https://www.francemarches.com/appel-offre/3boamp2643374-2026-refonte-site-internet,canonical,3boamp2643374-2026-refonte-site-internet.html,FRANCE_MARCHES,True,date_limite_manquante | fonction_publique_inconnue,,services,140000,autorite_publique_centrale,non,Aucune preuve explicite JOUE detectee,MAPA_SOUS_SEUIL,"Procedure indiquee comme MAPA ; le marche est presume sous le seuil europeen applicable (140,000 EUR).",MAPA_SOUS_SEUIL
3/boamp/2643609,Prestations de services informatiques pour le développement et la maintenance des outils informatiques du GCS UniHA,GCS-UNIHA,etablissement_public,hospitaliere,formalisee,,,72200000,72200000|72261000|72262000,Rhône (69),2026-06-04 00:00:00,4.0,,900000 EUR,https://www.francemarches.com/appel-offre/3boamp2643609-2026-prestations-services-informatiques,canonical,3boamp2643609-2026-prestations-services-informatiques.html,FRANCE_MARCHES,True,ccag_type_manquant | fonction_publique_inconnue,,services,216000,collectivite_territoriale_etablissement_public,non,Aucune preuve explicite JOUE detectee,FORMALISEE_SANS_PREUVE_JOUE,Procedure formalisee detectee sans preuve explicite de publication JOUE. Le marche est probablement au-dessus du seuil de procedure formalisee mais la preuve JOUE n'est pas etablie.,FORMALISEE_SANS_PREUVE_JOUE
3/boamp/2644098,"Prestations de conseil, de collecte, de développement, d'exploitation de données pour le Data Office",Organisation qui passe un marché subventionné par un pouvoir adjudicateur,inconnu,hors_fonction_publique,formalisee,services,prestations_intellectuelles,72600000,72600000,Paris,2026-06-03 16:00:00,12.0,2 reconduction(s),,https://www.francemarches.com/appel-offre/3boamp2644098-2026-prestations-conseil-collecte,canonical,3boamp2644098-2026-prestations-conseil-collecte.html,FRANCE_MARCHES,True,fonction_publique_inconnue,,services,216000,collectivite_territoriale_etablissement_public,non,Aucune preuve explicite JOUE detectee,FORMALISEE_SANS_PREUVE_JOUE,Procedure formalisee detectee sans preuve explicite de publication JOUE. Le marche est probablement au-dessus du seuil de procedure formalisee mais la preuve JOUE n'est pas etablie.,FORMALISEE_SANS_PREUVE_JOUE
3/boamp/2644226,"Assistance à maîtrise d'oeuvre : prestations d'expertise, de développements informatiques et d'assistance technique",INSTITUT FRANCAIS DUCHEVAL ET DE L'EQUITATION,etablissement_public,etat,formalisee,services,prestations_intellectuelles,72500000,72500000,Corrèze (19),2026-06-04 00:00:00,48.0,,2000000 EUR,https://www.francemarches.com/appel-offre/3boamp2644226-2026-assistance-maitrise-oeuvre,canonical,3boamp2644226-2026-assistance-maitrise-oeuvre.html,FRANCE_MARCHES,False,,,services,140000,autorite_publique_centrale,non,Aucune preuve explicite JOUE detectee,FORMALISEE_SANS_PREUVE_JOUE,Procedure formalisee detectee sans preuve explicite de publication JOUE. Le marche est probablement au-dessus du seuil de procedure formalisee mais la preuve JOUE n'est pas etablie.,FORMALISEE_SANS_PREUVE_JOUE
3/boamp/2644837,TMA - TME DU SYSTEME D'INFORMATION DU DPSM,Bureau de Recherche en Géologie Minière (BRGM),etablissement_public,etat,formalisee,services,,72610000,72610000,Loiret,2026-06-05 12:00:00,48.0,0 reconduction(s),,https://www.francemarches.com/appel-offre/3boamp2644837-2026-systeme-information-dpsm,canonical,3boamp2644837-2026-systeme-information-dpsm.html,FRANCE_MARCHES,True,ccag_type_manquant | fonction_publique_inconnue,,services,140000,autorite_publique_centrale,non,Aucune preuve explicite JOUE detectee,FORMALISEE_SANS_PREUVE_JOUE,Procedure formalisee detectee sans preuve explicite de publication JOUE. Le marche est probablement au-dessus du seuil de procedure formalisee mais la preuve JOUE n'est pas etablie.,FORMALISEE_SANS_PREUVE_JOUE
A2026-018,Fourniture d'une solution de gestion pédagogique des doctorants,EOESRI / COMUE - UdL - COMUE &quot;Université de Lyon&quot;,etablissement_public,etat,inconnu,,,72260000,72260000|23405819,(69) Rhône,2026-06-12 12:00:00,,,,https://www.marches-publics.gouv.fr/app.php/entreprise/consultation/2986378?orgAcronyme=f2h,fallback_place,2986378?orgAcronyme=f2h.html,PLACE_NUMERIC,True,ccag_type_manquant,,fournitures,140000,autorite_publique_centrale,oui,URL marches-publics.gouv.fr (portal JOUE),INDETERMINE,Type de procedure non specifie ; impossible de qualifier le niveau de procedure.,INDETERMINE
AOO_2026-02,Assistance à maîtrise d’ouvrage pour la conception et la passation de marchés publics de développement d’outils de gestion et de visualisation de données sur l’eau sur le bassin versant Marais poitevin,"Ministère de la Transition Écologique, Ministère de la Cohésion des Territoires, Ministère de la Mer",etat,etat,inconnu,services,prestations_intellectuelles,71241000,71241000|48810000|72222000|62611154,"(85) Vendée, (17) Charente-Maritime, (79) Deux-Sèvres",2026-06-22 12:00:00,,,,https://www.marches-publics.gouv.fr/app.php/entreprise/consultation/2992873?orgAcronyme=d4t,fallback_place,2992873?orgAcronyme=d4t.html,PLACE_NUMERIC,False,,,services,140000,autorite_publique_centrale,oui,URL marches-publics.gouv.fr (portal JOUE),INDETERMINE,Type de procedure non specifie ; impossible de qualifier le niveau de procedure.,INDETERMINE
B26-01107-LS,Prestations de tierce maintenance applicative (TMA) des Logiciels Systèmes Energétiques du CEA Liten,AO / CEA / CEA / GRENOBLE - CENTRE DE GRENOBLE,etablissement_public,etat,inconnu,services,tic,72250000,72250000|47187902,(38) Isère,2026-06-10 16:00:00,,,,https://www.marches-publics.gouv.fr/app.php/entreprise/consultation/2997383?orgAcronyme=s2d,fallback_place,2997383?orgAcronyme=s2d.html,PLACE_NUMERIC,False,,,services,140000,autorite_publique_centrale,oui,URL marches-publics.gouv.fr (portal JOUE),INDETERMINE,Type de procedure non specifie ; impossible de qualifier le niveau de procedure.,INDETERMINE
DAF_2025_001001,Prestations d’assistance et d’expertise pour migration et déploiement des SI vers le cloud au profit du Centre Spécialisé Cloud du MINARM (référence interne DAF).,"Ministère des Armées – DNUM / Centre Spécialisé Cloud du MINARM, France entière.",etat,etat,MAPA,services,tic,26052026,26052026|72220000,Val-de-Marne,26/05/2026,,,18.02 M€ HT,https://www.francemarches.com/appel-offre/37ao26181581260520263294-2026-prestations-assistance-expertise,source_url,37ao26181581260520263294-2026-prestations-assistance-expertise.html,-,False,,,services,140000,autorite_publique_centrale,non,Aucune preuve explicite JOUE detectee,MAPA_SOUS_SEUIL,"Procedure indiquee comme MAPA ; le marche est presume sous le seuil europeen applicable (140,000 EUR).",MAPA_SOUS_SEUIL
DGFIP-DRS-2500077,Assistance externe pour la conduite de consultations organisées dans le cadre des dispositions du code de la commande publique pour les marchés de techniques de l’information et de la communication.,Direction Générale des Finances Publiques,etat,etat,formalisee,services,,72220000,72220000,Montreuil (93186),2026-06-04 17:00:00,48.0,,400000 EUR,,missing,26-41049.html,BOAMP_XML,True,ccag_type_manquant | url_marche_manquante,,services,140000,autorite_publique_centrale,non,Aucune preuve explicite JOUE detectee,FORMALISEE_SANS_PREUVE_JOUE,Procedure formalisee detectee sans preuve explicite de publication JOUE. Le marche est probablement au-dessus du seuil de procedure formalisee mais la preuve JOUE n'est pas etablie.,FORMALISEE_SANS_PREUVE_JOUE
MO-9589316,Infogérance du système d'information de l'INSEAMM.,ESADMM,etablissement_public,etat,MAPA,services,tic,72500000,72500000|15323409|00590169|00650699,13 - MARSEILLE,2026-05-29 00:00:00,,,,https://www.marchesonline.com/appels-offres/avis/infogerance-du-systeme-d-information-de-l-inseamm/ao-9589316-1,canonical,ao-9589316-1.html,MARCHES_ONLINE,True,fonction_publique_inconnue,,services,140000,autorite_publique_centrale,non,Aucune preuve explicite JOUE detectee,MAPA_SOUS_SEUIL,"Procedure indiquee comme MAPA ; le marche est presume sous le seuil europeen applicable (140,000 EUR).",MAPA_SOUS_SEUIL
MO-9591946,Prestations d'assistance et d'expertise pour la migration et le déploiement des systèmes d'information vers le cloud au profit du Centre Spécialisé Cloud du MINARM,MINDEF/DIRISI/Bureau Marchés.,etat,etat,MAPA,services,tic,72220000,72220000|15326176|00590169|00650699,94 - MINISTERE DES ARMEES,2026-05-26 00:00:00,66.0,,18025000 EUR,https://www.marchesonline.com/appels-offres/avis/prestations-d-assistance-et-d-expertise-pour-la-migrati/ao-9591946-1,canonical,ao-9591946-1.html,MARCHES_ONLINE,False,,,services,140000,autorite_publique_centrale,non,Aucune preuve explicite JOUE detectee,MAPA_SOUS_SEUIL,"Procedure indiquee comme MAPA ; le marche est presume sous le seuil europeen applicable (140,000 EUR).",MAPA_SOUS_SEUIL
MO-9592936,"Fourniture, mise en oeuvre d'un Security Operation Center (SOC) managé et Protection des identités.",Gaz Electricité de Grenoble,inconnu,inconnue,MAPA,services,,72222300,72222300|72500000|15326779|00590169|00650699,38 - GRENOBLE,2026-05-26 00:00:00,48.0,4 reconduction(s),,https://www.marchesonline.com/appels-offres/avis/fourniture-mise-en-oeuvre-d-un-security-operation-cent/ao-9592936-1,canonical,ao-9592936-1.html,MARCHES_ONLINE,True,ccag_type_manquant | fonction_publique_inconnue,,services,216000,collectivite_territoriale_etablissement_public,non,Aucune preuve explicite JOUE detectee,MAPA_SOUS_SEUIL,"Procedure indiquee comme MAPA ; le marche est presume sous le seuil europeen applicable (216,000 EUR).",MAPA_SOUS_SEUIL
