Référence,Intitulé synthétique,Type d'AO,Type,Fonction publique,Acheteur_auto,Acheteur_manual,Acheteur_clean,Localisation_auto,Localisation_manual,Localisation,Localisation_clean,Date_limite_auto,Date_limite_manual,Date limite de remise des offres,Durée initiale du marché,Reconduction(s),Estimation_auto,Estimation_manual,Estimation du marché,URL source HTTPS,Plateforme,match_status,match_source,review_needed,extraction_notes,Colonne 1,Colonne 2,Column 29,source_type
13/joue/003085442026,"Fourniture de solutions d'infrastructure informatique (matériels, logiciels et prestations associées)",AOO,Fournitures,-,Union des Groupements d'Achats Publics,,Union des Groupements d'Achats Publics,officiels de l'organisme acheteur public,,officiels de l'organisme acheteur public,officiels de l'organisme acheteur public,2026-06-29 00:00:00,,2026-06-29 00:00:00,-,-,171.0,,171.0,https://ted.europa.eu/fr/notice/-/detail/308544-2026,BOAMP,new,13joue003085442026-2026-fourniture-solutions-infrastructure.html,,"title: dom_titre_data -> accepted score=95 value=""Fourniture de solutions d'infrastructure informatique (matériels, logiciels et prestations associées)""; title: titre_pattern -> accepted score=85 value=""Fourniture de solutions d'infrastructure informatique (matériels, logiciels et prestations associées)""; buyer: dom_nom_officiel -> accepted score=65 value=""Union des Groupements d'Achats Publics""; buyer: nom_officiel -> accepted score=55 value=""Union des Groupements d'Achats Publics""",-,-,-,BOAMP_XML
13/joue/003107212026,"Maintien en Condition Opérationnelle de l'Infrastructure Système, Stockage, Serveurs et Sauvegarde / Renouvellement, installation et maintenance de composants essentiels - GHT de la Nièvre",AOO,Services,-,Centre Hospitalier de l'Agglomération de Nevers,,Centre Hospitalier de l'Agglomération de Nevers,officiels de l'organisme acheteur public,,officiels de l'organisme acheteur public,officiels de l'organisme acheteur public,2026-06-05 00:00:00,,2026-06-05 00:00:00,-,-,171.0,,171.0,https://ted.europa.eu/fr/notice/-/detail/310721-2026,BOAMP,new,13joue003107212026-2026-maintien-condition-operationnelle.html,,"title: dom_titre_data -> accepted score=95 value=""Maintien en Condition Opérationnelle de l'Infrastructure Système, Stockage, Serveurs et Sauvegarde / Renouvellement, installation et maintenance de composants essentiels - GHT de la Nièvre""; title: titre_pattern -> accepted score=85 value=""Maintien en Condition Opérationnelle de l'Infrastructure Système, Stockage, Serveurs et Sauvegarde / Renouvellement, installation et maintenance de composants essentiels - GHT de la Nièvre""; buyer: dom_nom_officiel -> accepted score=75 value=""Centre Hospitalier de l'Agglomération de Nevers""; buyer: nom_officiel -> accepted score=65 value=""Centre Hospitalier de l'Agglomération de Nevers""",-,-,-,BOAMP_XML
13/joue/003228322026,"La continuité, l'exploitation, l'hébergement, la maintenance et le développement de la plateforme de notification eTOD",AOO,Services,-,Institut géographique national,,Institut géographique national,officiels de l'organisme acheteur public,,officiels de l'organisme acheteur public,officiels de l'organisme acheteur public,2026-06-15 00:00:00,,2026-06-15 00:00:00,-,-,171.0,,171.0,https://ted.europa.eu/fr/notice/-/detail/322832-2026,BOAMP,new,13joue003228322026-2026-continuite-exploitation-hebergement?q=72200000.html,,"title: dom_titre_data -> accepted score=95 value=""La continuité, l'exploitation, l'hébergement, la maintenance et le développement de la plateforme de notification eTOD""; title: titre_pattern -> accepted score=85 value=""La continuité, l'exploitation, l'hébergement, la maintenance et le développement de la plateforme de notification eTOD""; buyer: dom_nom_officiel -> accepted score=65 value='Institut géographique national'; buyer: nom_officiel -> accepted score=55 value='Institut géographique national'",-,-,-,BOAMP_XML
13/joue/003237302026,Prestations de Tierce Maintenance Applicative des Logiciels Systèmes Energétiques du LITEN,AOO,Services,-,COMMISSARIAT A L'ENERGIE ATOMIQUE,,COMMISSARIAT A L'ENERGIE ATOMIQUE,officiels de l'organisme acheteur public,,officiels de l'organisme acheteur public,officiels de l'organisme acheteur public,2026-06-10 00:00:00,,2026-06-10 00:00:00,-,-,171.0,,171.0,https://ted.europa.eu/fr/notice/-/detail/323730-2026,BOAMP,new,13joue003237302026-2026-prestations-tierce-maintenance?q=72200000.html,,"title: dom_titre_data -> accepted score=95 value='Prestations de Tierce Maintenance Applicative des Logiciels Systèmes Energétiques du LITEN'; title: titre_pattern -> accepted score=85 value='Prestations de Tierce Maintenance Applicative des Logiciels Systèmes Energétiques du LITEN'; buyer: dom_nom_officiel -> accepted score=65 value=""COMMISSARIAT A L'ENERGIE ATOMIQUE""; buyer: nom_officiel -> accepted score=55 value=""COMMISSARIAT A L'ENERGIE ATOMIQUE""",-,-,-,BOAMP_XML
13/joue/003241312026,PRESTATIONS DE SUPPORT ET MAINTENANCE LOGICIEL,Procédure restreinte,Services,-,2026-04,,2026-04,officiels de l'organisme acheteur public,,officiels de l'organisme acheteur public,officiels de l'organisme acheteur public,-,,-,-,-,171.0,,171.0,https://ted.europa.eu/fr/notice/-/detail/324131-2026,BOAMP,new,13joue003241312026-2026-prestations-support-maintenance?q=72200000.html,,title: dom_titre_data -> accepted score=85 value='PRESTATIONS DE SUPPORT ET MAINTENANCE LOGICIEL'; title: titre_pattern -> accepted score=75 value='PRESTATIONS DE SUPPORT ET MAINTENANCE LOGICIEL'; buyer: dom_nom_officiel -> accepted score=50 value='2026-04'; buyer: nom_officiel -> accepted score=40 value='2026-04',-,-,-,BOAMP_XML
13/joue/003272002026,Accompagnement à l extension de l ITSM de la DSI,AOO,Services,-,DSI - Direction des systèmes d information,,DSI - Direction des systèmes d information,officiels de l'organisme acheteur public,,officiels de l'organisme acheteur public,officiels de l'organisme acheteur public,2026-06-16 00:00:00,,2026-06-16 00:00:00,-,-,171.0,,171.0,https://ted.europa.eu/fr/notice/-/detail/327200-2026,BOAMP,new,13joue003272002026-2026-accompagnement-extension-itsm?q=72200000.html,,title: dom_titre_data -> accepted score=90 value='Accompagnement à l extension de l ITSM de la DSI'; title: titre_pattern -> accepted score=80 value='Accompagnement à l extension de l ITSM de la DSI'; buyer: dom_nom_officiel -> accepted score=75 value='DSI - Direction des systèmes d information'; buyer: nom_officiel -> accepted score=65 value='DSI - Direction des systèmes d information',-,-,-,BOAMP_XML
13/joue/003278382026,HISI V2 - Hébergement et infogérance des sites internet,Procédure négociée,Services,-,BANQUE DE FRANCE - Direction des Achats,,BANQUE DE FRANCE - Direction des Achats,officiels de l'organisme acheteur public,,officiels de l'organisme acheteur public,officiels de l'organisme acheteur public,-,,-,-,-,171.0,,171.0,https://ted.europa.eu/fr/notice/-/detail/327838-2026,BOAMP,new,13joue003278382026-2026-hisi-hebergement-infogerance?q=72200000.html,,title: dom_titre_data -> accepted score=90 value='HISI V2 - Hébergement et infogérance des sites internet'; title: titre_pattern -> accepted score=80 value='HISI V2 - Hébergement et infogérance des sites internet'; buyer: dom_nom_officiel -> accepted score=75 value='BANQUE DE FRANCE - Direction des Achats'; buyer: nom_officiel -> accepted score=65 value='BANQUE DE FRANCE - Direction des Achats',-,-,-,BOAMP_XML
13/joue/003293162026,"Maintenance, hébergement et développements des sites et applicatifs web du Département de la Vendée",AOO,Services,-,Département de la Vendée,,Département de la Vendée,officiels de l'organisme acheteur public,,officiels de l'organisme acheteur public,officiels de l'organisme acheteur public,2026-06-12 00:00:00,,2026-06-12 00:00:00,-,-,171.0,,171.0,https://ted.europa.eu/fr/notice/-/detail/329316-2026,BOAMP,new,13joue003293162026-2026-maintenance-hebergement-developpements?q=72200000.html,,"title: dom_titre_data -> accepted score=95 value='Maintenance, hébergement et développements des sites et applicatifs web du Département de la Vendée'; title: titre_pattern -> accepted score=85 value='Maintenance, hébergement et développements des sites et applicatifs web du Département de la Vendée'; buyer: dom_nom_officiel -> accepted score=75 value='Département de la Vendée'; buyer: nom_officiel -> accepted score=65 value='Département de la Vendée'",-,-,-,BOAMP_XML
13/joue/003304802026,Groupement de commandes pour la fourniture de services de sécurité informatique pour les réseaux d'accès normands au profit des Etablissements Publics Locaux d'Enseignement,AOO,Services,-,REGION NORMANDIE,,REGION NORMANDIE,officiels de l'organisme acheteur public,,officiels de l'organisme acheteur public,officiels de l'organisme acheteur public,2026-06-23 00:00:00,,2026-06-23 00:00:00,-,-,171.0,,171.0,https://ted.europa.eu/fr/notice/-/detail/330480-2026,BOAMP,new,13joue003304802026-2026-groupement-commandes-pour?q=72200000.html,,"title: dom_titre_data -> accepted score=95 value=""Groupement de commandes pour la fourniture de services de sécurité informatique pour les réseaux d'accès normands au profit des Etablissements Publics Locaux d'Enseignement""; title: titre_pattern -> accepted score=85 value=""Groupement de commandes pour la fourniture de services de sécurité informatique pour les réseaux d'accès normands au profit des Etablissements Publics Locaux d'Enseignement""; buyer: dom_nom_officiel -> accepted score=60 value='REGION NORMANDIE'; buyer: nom_officiel -> accepted score=50 value='REGION NORMANDIE'",-,-,-,BOAMP_XML
2026-022-BL,Prestations logicielles relatives aux automates industriels pour SOLEIL II,AOO,Services,-,Synchrotron Soleil,,Synchrotron Soleil,91 - SYNCHROTRON SOLEIL,,91 - SYNCHROTRON SOLEIL,91 - SYNCHROTRON SOLEIL,2026-06-01 00:00:00,,2026-06-01 00:00:00,-,-,-,,-,https://www.marchesonline.com/appels-offres/avis/prestations-logicielles-relatives-aux-automates-industr/ao-9596814-1,Marchés Online,new,2026-022-BL.html,,title: h1_title_avis -> accepted score=80 value='Prestations logicielles relatives aux automates industriels pour SOLEIL II'; title: title_tag -> accepted score=70 value='Prestations logicielles relatives aux automates industriels pour SOLEIL II'; title: meta_description -> accepted score=65 value='Prestations logicielles relatives aux automates industriels pour SOLEIL II'; buyer: company_link -> accepted score=55 value='Synchrotron Soleil'; buyer: nom_officiel_pattern -> accepted score=50 value='SYNCHROTRON SOLEIL',-,-,-,MARCHES_ONLINE
2026-30,"Maintien en Condition Opérationnelle de l'Infrastructure Système, Stockage, Serveurs et Sauvegarde / Renouvellement, installation et maintenance de composants essentiels - GHT de la Nièvre",AOO,Services,-,GHT de la Nièvre - Centre hospitalier Pierre Beregovoy,,GHT de la Nièvre - Centre hospitalier Pierre Beregovoy,58 - NEVERS,,58 - NEVERS,58 - NEVERS,2026-06-05 00:00:00,,2026-06-05 00:00:00,-,-,-,,-,https://www.marchesonline.com/appels-offres/avis/maintien-en-condition-operationnelle-de-l-infrastructu/ao-9599869-1,Marchés Online,new,2026-30.html,,"title: h1_title_avis -> accepted score=80 value=""Maintien en Condition Opérationnelle de l'Infrastructure Système, Stockage, Serveurs et Sauvegarde / Renouvellement, installation et maintenance de composants essentiels - GHT de la Nièvre""; title: title_tag -> accepted score=70 value=""Maintien en Condition Opérationnelle de l'Infrastructure Système""; title: meta_description -> accepted score=65 value=""Maintien en Condition Opérationnelle de l'Infrastructure Système, Stockage, Serveurs et Sauvegarde / Renouvellement, installation et maintenance de composants essentiels""; buyer: company_link -> accepted score=70 value='GHT de la Nièvre - Centre hospitalier Pierre Beregovoy'; buyer: nom_officiel_pattern -> accepted score=65 value=""Centre Hospitalier de l'Agglomération de Nevers""",-,-,-,MARCHES_ONLINE
202604-02,"Fourniture et intégration de matériels et logiciels informatiques, services d'infogérance et de cybersécurité",Procédure négociée,Services,-,SPL SEMEA,,SPL SEMEA,16 - ANGOULEME,,16 - ANGOULEME,16 - ANGOULEME,2026-06-02 00:00:00,,2026-06-02 00:00:00,-,-,-,,-,https://www.marchesonline.com/appels-offres/avis/fourniture-et-integration-de-materiels-et-logiciels-i/ao-9596601-1,Marchés Online,new,202604-02.html,,"title: h1_title_avis -> accepted score=80 value=""Fourniture et intégration de matériels et logiciels informatiques, services d'infogérance et de cybersécurité""; title: title_tag -> accepted score=70 value='Fourniture et intégration de matériels et logiciels informatiques'; title: meta_description -> accepted score=65 value=""Fourniture et intégration de matériels et logiciels informatiques, services d'infogérance et de cybersécurité""; buyer: company_link -> accepted score=55 value='SPL SEMEA'; buyer: nom_officiel_pattern -> accepted score=50 value='SPL SEMEA'",-,-,-,MARCHES_ONLINE
2026A0239,"Prestations de support, infogérance et supervision pour les Services Numériques Éducatifs, et pour les environnements de travail, Data Centers, Infrastructures, Réseaux, Pare-Feux et Téléphonie de la Région Grand-Est, ainsi que de stockage",AOO,Services,-,Région Grand Est,,Région Grand Est,67 - REGION GRAND EST,,67 - REGION GRAND EST,67 - REGION GRAND EST,2026-06-18 00:00:00,,2026-06-18 00:00:00,-,-,-,,-,https://www.marchesonline.com/appels-offres/avis/prestations-de-support-infogerance-et-supervision-pou/ao-9599071-1,Marchés Online,new,2026A0239.html,,"title: h1_title_avis -> accepted score=80 value='Prestations de support, infogérance et supervision pour les Services Numériques Éducatifs, et pour les environnements de travail, Data Centers, Infrastructures, Réseaux, Pare-Feux et Téléphonie de la Région Grand-Est, ainsi que de stockage'; title: title_tag -> rejected score=55 value='Prestations de support' reason=generic_exact_title; title: meta_description -> accepted score=65 value='Prestations de support, infogérance et supervision pour les Services Numériques Éducatifs, et pour les environnements de travail, Data Centers, Infrastructures, Réseaux'; buyer: company_link -> accepted score=65 value='Région Grand Est'; buyer: nom_officiel_pattern -> accepted score=60 value='Région Grand Est'",-,-,-,MARCHES_ONLINE
2026M01,Renouvellement et maintenance des serveurs de sauvegarde et prestations associées,AOO,Services,-,SICIO,,SICIO,94 - SICIO,,94 - SICIO,94 - SICIO,2026-06-04 00:00:00,,2026-06-04 00:00:00,-,-,-,,-,https://www.marchesonline.com/appels-offres/avis/renouvellement-et-maintenance-des-serveurs-de-sauvegard/ao-9596821-1,Marchés Online,new,2026M01.html,,title: h1_title_avis -> accepted score=80 value='Renouvellement et maintenance des serveurs de sauvegarde et prestations associées'; title: title_tag -> accepted score=70 value='Renouvellement et maintenance des serveurs de sauvegarde et prestations associées'; title: meta_description -> accepted score=65 value='Renouvellement et maintenance des serveurs de sauvegarde et prestations associées'; buyer: company_link -> accepted score=45 value='SICIO'; buyer: nom_officiel_pattern -> accepted score=40 value='SICIO',-,-,-,MARCHES_ONLINE
2026MDAF0063,"Marché de prestations de maintenance d'assistance et d'infogérance du parc informatique, réseau et télécom de l'EPPGHV",AOO,Services,-,Etablissement Public du Parc et de la Grande Halle de la Villette (EPPGHV),,Etablissement Public du Parc et de la Grande Halle de la Villette (EPPGHV),75 - EPPGHV,,75 - EPPGHV,75 - EPPGHV,2026-06-01 00:00:00,,2026-06-01 00:00:00,-,-,-,,-,https://www.marchesonline.com/appels-offres/avis/marche-de-prestations-de-maintenance-d-assistance-et-d/ao-9594452-1,Marchés Online,new,2026MDAF0063.html,,"title: h1_title_avis -> accepted score=80 value=""Marché de prestations de maintenance d'assistance et d'infogérance du parc informatique, réseau et télécom de l'EPPGHV""; title: title_tag -> accepted score=70 value=""Marché de prestations de maintenance d'assistance et d'infogérance du parc informatique""; title: meta_description -> accepted score=65 value=""Marché de prestations de maintenance d'assistance et d'infogérance du parc informatique, réseau et télécom de l'EPPGHV""; buyer: company_link -> accepted score=70 value='Etablissement Public du Parc et de la Grande Halle de la Villette (EPPGHV)'; buyer: nom_officiel_pattern -> accepted score=40 value='EPPGHV'",-,-,-,MARCHES_ONLINE
2026_07.,"Fourniture, mise en oeuvre d'un Security Operation Center (SOC) managé et Protection des identités",Procédure négociée,Services,-,Gaz Electricité de Grenoble,,Gaz Electricité de Grenoble,38 - GRENOBLE,,38 - GRENOBLE,38 - GRENOBLE,2026-05-26 00:00:00,,2026-05-26 00:00:00,-,-,-,,-,https://www.marchesonline.com/appels-offres/avis/fourniture-mise-en-oeuvre-d-un-security-operation-cent/ao-9592936-1,Marchés Online,new,2026_07..html,,"title: h1_title_avis -> accepted score=80 value=""Fourniture, mise en oeuvre d'un Security Operation Center (SOC) managé et Protection des identités""; title: title_tag -> rejected score=35 value='Fourniture' reason=generic_exact_title; title: meta_description -> accepted score=65 value=""Fourniture, mise en oeuvre d'un Security Operation Center (SOC) managé et Protection des identités""; buyer: company_link -> accepted score=60 value='Gaz Electricité de Grenoble'; buyer: nom_officiel_pattern -> accepted score=55 value='GAZ ELECTRICITE DE GRENOBLE'",-,-,-,MARCHES_ONLINE
26-011,Tierce maintenance d'exploitation et de services des agences de l'eau,Procédure négociée,Services,-,Agence de l'Eau Seine Normandie,,Agence de l'Eau Seine Normandie,92 - AGENCE DE L'EAU SEINE NORMANDIE,,92 - AGENCE DE L'EAU SEINE NORMANDIE,92 - AGENCE DE L'EAU SEINE NORMANDIE,2026-05-26 00:00:00,,2026-05-26 00:00:00,-,-,-,,-,https://www.marchesonline.com/appels-offres/avis/tierce-maintenance-d-exploitation-et-de-services-des-ag/ao-9595420-1,Marchés Online,new,26-011.html,,"title: h1_title_avis -> accepted score=80 value=""Tierce maintenance d'exploitation et de services des agences de l'eau""; title: title_tag -> accepted score=70 value=""Tierce maintenance d'exploitation et de services des agences de l'eau""; title: meta_description -> accepted score=65 value=""Tierce maintenance d'exploitation et de services des agences de l'eau""; buyer: company_link -> accepted score=70 value=""Agence de l'Eau Seine Normandie""; buyer: nom_officiel_pattern -> accepted score=65 value=""Agence de l'eau Seine Normandie""",-,-,-,MARCHES_ONLINE
DGFIP-DRS-2500077,Assistance externe pour la conduite de consultations organisées dans le cadre des dispositions du code de la commande publique pour les marchés de techniques de l'information et de la communication,AOO,Services,-,Direction Générale des Finances Publiques,,Direction Générale des Finances Publiques,Montreuil / Seine-Saint-Denis,,Montreuil / Seine-Saint-Denis,Montreuil / Seine-Saint-Denis,-,,-,-,-,400000.0,,400000.0,https://www.boamp.fr/avis/detail/DGFIP-DRS-2500077,BOAMP,new,26-41049.html,,"title: label_titre -> accepted score=80 value=""Assistance externe pour la conduite de consultations organisées dans le cadre des dispositions du code de la commande publique pour les marchés de techniques de l'information et de la communication""; buyer: dom_nom_officiel -> accepted score=75 value='Direction Générale des Finances Publiques'; buyer: org_info_complementaires -> accepted score=-75 value='Direction Générale des Finances Publiques'",-,-,-,BOAMP_XML
